	ADAM33	ADRB2	ALOX5	AREG	ARG1	BCL6	CCL11	CCL17	CCL2	CCL22	CCL24	CCL26	CCL5	CCL8	CCR3	CCR4	CCR8	CD40LG	CHI3L1	CHIA	CLC	CLCA1	CMA1	CPA3	CRLF2	CSF2	CSF3R	CYSLTR1	EPX	FCER1A	FOXP3	GATA3	GPR44	ICOS	IFNG	IFNGR2	IL10	IL12A	IL12B	IL13	IL13RA1	IL13RA2	IL17A	IL17RB	IL18	IL1RL1	IL21	IL25	IL2RA	IL3	IL31	IL33	IL3RA	IL4	IL4R	IL5	IL5RA	IL9	KIT	KITLG	LTB4R	MAF	MMP9	MRC1	MS4A2	PDCD1	PMCH	POSTN	PPARG	PRG2	RETNLB	RNASE2	RNASE3	RORC	SATB1	SIGLEC8	STAT5A	STAT6	TBX21	TGFB1	TNFRSF4	TNFSF4	TPSAB1	TSLP	
IL33	0.011927	0.011927	0.011926	0.011927	0.011926	0.011927	0.011926	0.011926	0.011926	0.011925	0.011926	0.011926	0.011925	0.011927	0.011925	0.011926	0.011926	0.011926	0.011927	0.011926	0.011922	0.011926	0.011924	0.011885	0.011928	0.011897	0.011926	0.011928	0.011921	0.011929	0.011926	0.011925	0.011927	0.011925	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.01193	0.011926	0.011926	0.011926	0.011926	0.011904	0.011925	0.011926	0.011926	0.011923	0.011925	0.011926	0.011926	0.011926	0.011927	0.011927	0.011927	0.011917	0.011926	0.011888	0.011927	0.01192	0.011924	0.011926	0.011926	0.010295	0.011926	0.011926	0.011926	0.011925	0.011927	0.011926	0.01192	0.011926	
IL3RA	0.011927	0.011927	0.011926	0.011927	0.011926	0.011927	0.011926	0.011926	0.011926	0.011925	0.011926	0.011926	0.011926	0.011927	0.011926	0.011926	0.011926	0.011926	0.011927	0.011926	0.011922	0.011926	0.011924	0.011883	0.011928	0.011897	0.011926	0.011928	0.01192	0.011929	0.011926	0.011925	0.011927	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.01193	0.011926	0.011926	0.011926	0.011926	0.011904	0.011925	0.011926	0.011926	0.011923	0.011925	0.011926	0.011926	0.011926	0.011927	0.011928	0.011926	0.011915	0.011926	0.011882	0.011927	0.01192	0.011924	0.011926	0.011926	0.010301	0.011926	0.011926	0.011926	0.011926	0.011927	0.011926	0.01192	0.011926	
IL4	0.011927	0.011927	0.011926	0.011927	0.011926	0.011927	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011927	0.011926	0.011926	0.011926	0.011926	0.011927	0.011926	0.011923	0.011926	0.011924	0.011895	0.011928	0.011897	0.011926	0.011928	0.011921	0.011929	0.011926	0.011925	0.011927	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.01193	0.011926	0.011926	0.011926	0.011926	0.011904	0.011925	0.011926	0.011926	0.011924	0.011925	0.011926	0.011926	0.011926	0.011927	0.011927	0.011927	0.011918	0.011926	0.011887	0.011927	0.011921	0.011924	0.011926	0.011926	0.010274	0.011926	0.011926	0.011926	0.011926	0.011927	0.011926	0.011922	0.011926	
IL4R	0.011927	0.011927	0.011926	0.011928	0.011926	0.011927	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011927	0.011926	0.011924	0.011927	0.011924	0.011879	0.011928	0.011897	0.011927	0.011928	0.01192	0.01193	0.011926	0.011925	0.011927	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.01193	0.011926	0.011926	0.011926	0.011926	0.011904	0.011925	0.011926	0.011926	0.011923	0.011925	0.011926	0.011926	0.011926	0.011928	0.011928	0.011926	0.011922	0.011926	0.011883	0.011928	0.01192	0.011924	0.011926	0.011926	0.01028	0.011926	0.011926	0.011926	0.011926	0.011927	0.011926	0.01192	0.011926	
IL5	0.011904	0.011904	0.011904	0.011903	0.011904	0.011904	0.011904	0.011904	0.011904	0.011903	0.011904	0.011903	0.011904	0.011904	0.011904	0.011904	0.011904	0.011904	0.011904	0.011904	0.011903	0.011902	0.011901	0.011855	0.011904	0.011906	0.011904	0.011904	0.011901	0.011904	0.011904	0.011904	0.011904	0.011903	0.011903	0.011904	0.011904	0.011904	0.011904	0.011903	0.011904	0.011904	0.011904	0.011904	0.011904	0.011904	0.011904	0.011904	0.011904	0.011904	0.011904	0.011904	0.011904	0.011904	0.011904	0.011906	0.011904	0.011904	0.011904	0.011902	0.011904	0.011904	0.011904	0.011904	0.011904	0.011904	0.011904	0.011889	0.011904	0.011905	0.011904	0.011901	0.011902	0.011904	0.011905	0.012064	0.011904	0.011904	0.011904	0.011903	0.011904	0.011904	0.011896	0.011904
IL5RA	0.011926	0.011926	0.011925	0.011926	0.011925	0.011926	0.011925	0.011925	0.011925	0.011925	0.011925	0.011925	0.011925	0.011926	0.011925	0.011925	0.011925	0.011925	0.011926	0.011925	0.011923	0.011925	0.011924	0.011904	0.011927	0.011897	0.011926	0.011927	0.011922	0.011928	0.011925	0.011924	0.011926	0.011925	0.011925	0.011927	0.011925	0.011925	0.011925	0.011925	0.011925	0.011925	0.011925	0.011927	0.011925	0.011925	0.011925	0.011925	0.011925	0.011925	0.011929	0.011925	0.011925	0.011925	0.011925	0.011904	0.011924	0.011925	0.011925	0.011924	0.011924	0.011925	0.011925	0.011925	0.011926	0.011926	0.011926	0.011915	0.011925	0.011901	0.011926	0.011922	0.011924	0.011925	0.011925	0.010317	0.011925	0.011925	0.011925	0.011925	0.011926	0.011925	0.011923	0.011925
IL9	0.011927	0.011927	0.011926	0.011928	0.011926	0.011927	0.011926	0.011926	0.011926	0.011925	0.011926	0.011926	0.011926	0.011927	0.011925	0.011926	0.011926	0.011926	0.011927	0.011926	0.011923	0.011927	0.011924	0.011888	0.011928	0.011897	0.011926	0.011928	0.011921	0.011929	0.011926	0.011925	0.011927	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.01193	0.011926	0.011926	0.011926	0.011926	0.011904	0.011925	0.011926	0.011926	0.011924	0.011925	0.011926	0.011926	0.011926	0.011927	0.011928	0.011927	0.011922	0.011926	0.011886	0.011927	0.011921	0.011924	0.011926	0.011926	0.010283	0.011926	0.011926	0.011926	0.011926	0.011927	0.011926	0.011921	0.011926	
KIT	0.011927	0.011927	0.011926	0.011927	0.011926	0.011927	0.011926	0.011926	0.011926	0.011925	0.011926	0.011926	0.011926	0.011927	0.011926	0.011926	0.011926	0.011926	0.011927	0.011926	0.011923	0.011926	0.011923	0.01188	0.011928	0.011897	0.011926	0.011928	0.01192	0.011929	0.011926	0.011925	0.011927	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.01193	0.011926	0.011926	0.011926	0.011926	0.011904	0.011925	0.011926	0.011926	0.011923	0.011925	0.011926	0.011926	0.011926	0.011927	0.011928	0.011925	0.011915	0.011926	0.011884	0.011927	0.01192	0.011924	0.011926	0.011926	0.010299	0.011926	0.011926	0.011926	0.011926	0.011927	0.011926	0.01192	0.011926	
KITLG	0.011924	0.011925	0.011923	0.011922	0.011923	0.011924	0.011924	0.011924	0.011923	0.011924	0.011923	0.011925	0.011924	0.011924	0.011924	0.011923	0.011923	0.011923	0.011924	0.011923	0.011924	0.011922	0.011927	0.01199	0.011924	0.011897	0.011924	0.011925	0.011929	0.011927	0.011923	0.011924	0.011924	0.011922	0.011924	0.011924	0.011923	0.011923	0.011924	0.011923	0.011923	0.011923	0.011923	0.011924	0.011923	0.011923	0.011923	0.011923	0.011923	0.011924	0.011926	0.011923	0.011923	0.011924	0.011923	0.011902	0.011924	0.011924	0.011923	0.011927	0.011923	0.011923	0.011923	0.011923	0.011925	0.011924	0.011925	0.011911	0.011923	0.011964	0.011924	0.011928	0.011926	0.011923	0.011921	0.010267	0.011923	0.011923	0.011924	0.011923	0.011924	0.011923	0.011935	0.011923	
LTB4R	0.011926	0.011926	0.011926	0.011924	0.011925	0.011926	0.011925	0.011925	0.011925	0.011925	0.011925	0.011925	0.011925	0.011927	0.011925	0.011925	0.011925	0.011925	0.011926	0.011925	0.011922	0.011924	0.011924	0.011898	0.011927	0.011898	0.011925	0.011931	0.011922	0.011928	0.011925	0.011924	0.011926	0.011924	0.011925	0.011927	0.011925	0.011925	0.011925	0.011925	0.011925	0.011925	0.011925	0.011927	0.011926	0.011925	0.011925	0.011925	0.011925	0.011925	0.011929	0.011925	0.011925	0.011925	0.011925	0.011904	0.011924	0.011925	0.011925	0.011923	0.011929	0.011925	0.011925	0.011925	0.011927	0.011926	0.011933	0.011906	0.011925	0.011894	0.011926	0.011921	0.011924	0.011925	0.011924	0.010328	0.011925	0.011925	0.011925	0.011925	0.011926	0.011925	0.011921	0.011925
MAF	0.011927	0.011927	0.011927	0.01193	0.011926	0.011927	0.011926	0.011926	0.011926	0.011925	0.011926	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011928	0.011927	0.011922	0.011929	0.011922	0.011857	0.011929	0.011897	0.011926	0.011928	0.011918	0.011929	0.011926	0.011925	0.011927	0.011927	0.011926	0.011929	0.011926	0.011927	0.011926	0.011926	0.011926	0.011926	0.011927	0.011928	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011931	0.011926	0.011926	0.011926	0.011926	0.011904	0.011925	0.011926	0.011926	0.011923	0.011925	0.011927	0.011926	0.011926	0.011928	0.011928	0.011924	0.011933	0.011926	0.011875	0.011928	0.011919	0.011923	0.011926	0.011928	0.010297	0.011926	0.011927	0.011926	0.011926	0.011928	0.011927	0.011916	0.011926	
MMP9	0.011927	0.011927	0.011926	0.011929	0.011926	0.011927	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011927	0.011926	0.011923	0.011928	0.011923	0.011877	0.011928	0.011897	0.011926	0.011928	0.01192	0.011929	0.011926	0.011925	0.011927	0.011926	0.011926	0.011929	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.01193	0.011926	0.011926	0.011926	0.011926	0.011904	0.011925	0.011926	0.011926	0.011923	0.011925	0.011926	0.011926	0.011926	0.011928	0.011928	0.011926	0.011927	0.011926	0.011878	0.011928	0.01192	0.011924	0.011926	0.011927	0.010283	0.011926	0.011926	0.011926	0.011926	0.011927	0.011926	0.011919	0.011926	
MRC1	0.011927	0.011927	0.011927	0.011927	0.011926	0.011927	0.011926	0.011926	0.011926	0.011925	0.011926	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011927	0.011926	0.011922	0.011927	0.011923	0.011867	0.011928	0.011898	0.011926	0.011928	0.011919	0.011929	0.011926	0.011925	0.011927	0.011926	0.011926	0.011929	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.01193	0.011926	0.011926	0.011926	0.011926	0.011904	0.011925	0.011926	0.011926	0.011923	0.011925	0.011926	0.011926	0.011926	0.011928	0.011928	0.011925	0.011916	0.011926	0.011875	0.011928	0.011919	0.011923	0.011926	0.011927	0.010316	0.011926	0.011926	0.011926	0.011926	0.011927	0.011926	0.011918	0.011926	
MS4A2	0.011929	0.011929	0.011928	0.011928	0.011928	0.011929	0.011927	0.011927	0.011928	0.011927	0.011928	0.011928	0.011927	0.011929	0.011927	0.011928	0.011928	0.011928	0.011929	0.011928	0.011924	0.011928	0.011925	0.011882	0.01193	0.011897	0.011928	0.011931	0.011921	0.011931	0.011928	0.011926	0.011929	0.011927	0.011927	0.01193	0.011928	0.011928	0.011928	0.011927	0.011927	0.011927	0.011928	0.01193	0.011928	0.011927	0.011928	0.011928	0.011927	0.011927	0.011932	0.011927	0.011927	0.011927	0.011928	0.011904	0.011926	0.011927	0.011927	0.011925	0.011927	0.011928	0.011928	0.011928	0.011929	0.011929	0.011931	0.011913	0.011928	0.011871	0.011929	0.011921	0.011926	0.011928	0.011928	0.010177	0.011928	0.011928	0.011928	0.011927	0.011929	0.011928	0.011921	0.011928	
PDCD1	0.011929	0.011929	0.011928	0.011931	0.011928	0.011929	0.011927	0.011927	0.011928	0.011927	0.011927	0.011927	0.011927	0.011929	0.011927	0.011928	0.011928	0.011928	0.011929	0.011928	0.011922	0.01193	0.011924	0.011854	0.01193	0.011897	0.011928	0.01193	0.011919	0.011931	0.011928	0.011926	0.011929	0.011928	0.011928	0.011931	0.011928	0.011928	0.011928	0.011928	0.011928	0.011928	0.011928	0.01193	0.011928	0.011927	0.011928	0.011928	0.011928	0.011927	0.011932	0.011927	0.011928	0.011927	0.011928	0.011904	0.011926	0.011928	0.011928	0.011924	0.011926	0.011928	0.011928	0.011928	0.011929	0.01193	0.011925	0.011932	0.011928	0.011872	0.01193	0.01192	0.011924	0.011928	0.011929	0.010189	0.011928	0.011928	0.011928	0.011928	0.011929	0.011928	0.011917	0.011928	
PMCH	0.011928	0.01193	0.011929	0.011916	0.011926	0.011926	0.011928	0.011927	0.011927	0.011927	0.011934	0.011929	0.011928	0.011929	0.011928	0.011926	0.011927	0.011926	0.011928	0.011927	0.011922	0.011917	0.011935	0.011941	0.011926	0.011894	0.011925	0.011965	0.011936	0.01193	0.011926	0.011924	0.011936	0.011922	0.011926	0.011927	0.011927	0.011926	0.011927	0.011925	0.011926	0.011926	0.011926	0.011925	0.011931	0.011926	0.011926	0.011926	0.011926	0.011928	0.011928	0.011927	0.011926	0.011927	0.011926	0.011904	0.011926	0.011927	0.011925	0.011925	0.011933	0.011924	0.011926	0.011925	0.011931	0.011925	0.012103	0.011856	0.011926	0.011876	0.011926	0.011921	0.011936	0.011925	0.011918	0.010028	0.011926	0.011929	0.011927	0.011924	0.011927	0.011925	0.011927	0.011926	
POSTN	0.011925	0.011916	0.011911	0.012066	0.011916	0.011924	0.011916	0.011921	0.01192	0.011918	0.011913	0.011917	0.011917	0.011916	0.011916	0.011918	0.011914	0.011919	0.011925	0.011925	0.011932	0.012068	0.011905	0.011785	0.011915	0.011877	0.01192	0.011894	0.011899	0.01191	0.01192	0.011917	0.011914	0.011971	0.011938	0.011919	0.011924	0.01192	0.011918	0.011941	0.011917	0.011917	0.011923	0.011918	0.01192	0.011917	0.01192	0.011918	0.01192	0.011917	0.011914	0.011917	0.011915	0.011918	0.011922	0.011889	0.011915	0.011922	0.011915	0.011911	0.011906	0.011933	0.011927	0.011916	0.011913	0.011932	0.011856	0.013115	0.011917	0.011814	0.011921	0.011964	0.011909	0.011922	0.011933	0.00955	0.011921	0.011921	0.011921	0.01195	0.01192	0.011919	0.011885	0.011917	
PPARG	0.011927	0.011927	0.011927	0.011927	0.011926	0.011927	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011928	0.011926	0.011923	0.011927	0.011923	0.011872	0.011929	0.011897	0.011927	0.011929	0.011919	0.01193	0.011926	0.011925	0.011927	0.011926	0.011926	0.011929	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011927	0.011928	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.01193	0.011926	0.011926	0.011926	0.011926	0.011904	0.011925	0.011926	0.011926	0.011923	0.011925	0.011926	0.011926	0.011926	0.011928	0.011928	0.011926	0.011917	0.011926	0.011878	0.011928	0.01192	0.011924	0.011926	0.011927	0.010293	0.011926	0.011926	0.011926	0.011926	0.011928	0.011926	0.011918	0.011926	
PRG2	0.011881	0.011883	0.011872	0.011851	0.011879	0.011882	0.011888	0.011885	0.01188	0.011891	0.011884	0.011892	0.011889	0.01187	0.011892	0.01188	0.011876	0.011881	0.011873	0.01187	0.011926	0.011858	0.011895	0.012054	0.011866	0.011916	0.01189	0.011861	0.012054	0.011873	0.011881	0.011955	0.011878	0.011875	0.011882	0.011862	0.011883	0.011877	0.011882	0.011884	0.011882	0.011883	0.011878	0.011872	0.011879	0.011887	0.011881	0.011882	0.011886	0.01189	0.011868	0.011888	0.011882	0.011887	0.011883	0.011905	0.011901	0.011886	0.011884	0.011964	0.011894	0.011875	0.011878	0.011875	0.011871	0.011872	0.011876	0.011814	0.011878	0.014664	0.01187	0.012039	0.011897	0.011878	0.011867	0.010475	0.011881	0.01188	0.011883	0.011883	0.011874	0.011878	0.011897	0.011882	
RETNLB	0.011929	0.011928	0.011928	0.01193	0.011928	0.011929	0.011927	0.011927	0.011928	0.011927	0.011927	0.011927	0.011927	0.011929	0.011927	0.011928	0.011928	0.011928	0.011929	0.011928	0.011923	0.011929	0.011924	0.01186	0.01193	0.011897	0.011928	0.01193	0.011919	0.011931	0.011928	0.011926	0.011929	0.011928	0.011927	0.01193	0.011928	0.011928	0.011927	0.011927	0.011927	0.011927	0.011928	0.01193	0.011928	0.011927	0.011928	0.011928	0.011927	0.011927	0.011932	0.011927	0.011927	0.011927	0.011928	0.011904	0.011926	0.011927	0.011927	0.011924	0.011926	0.011928	0.011928	0.011928	0.011929	0.01193	0.011926	0.011921	0.011928	0.01187	0.011929	0.01192	0.011924	0.011928	0.011929	0.01021	0.011928	0.011928	0.011928	0.011927	0.011929	0.011928	0.011918	0.011928	
RNASE2	0.011921	0.011921	0.011919	0.011924	0.011919	0.011921	0.011921	0.011921	0.01192	0.011922	0.01192	0.011923	0.011921	0.01192	0.011921	0.01192	0.011919	0.01192	0.011921	0.011919	0.011929	0.011926	0.011927	0.012067	0.01192	0.011896	0.011922	0.01192	0.011936	0.011923	0.01192	0.011923	0.011921	0.011921	0.011922	0.011919	0.011921	0.01192	0.011921	0.011922	0.01192	0.01192	0.01192	0.01192	0.01192	0.01192	0.01192	0.01192	0.01192	0.011921	0.011922	0.01192	0.01192	0.011921	0.01192	0.011901	0.011922	0.011921	0.01192	0.011928	0.011921	0.011919	0.01192	0.011919	0.011921	0.01192	0.011921	0.011964	0.01192	0.012039	0.01192	0.011937	0.011926	0.011919	0.011917	0.010251	0.01192	0.01192	0.011921	0.011922	0.01192	0.011919	0.011944	0.01192	
RNASE3	0.011925	0.011925	0.011924	0.011922	0.011924	0.011924	0.011924	0.011924	0.011924	0.011925	0.011924	0.011926	0.011924	0.011925	0.011924	0.011924	0.011924	0.011924	0.011925	0.011923	0.011926	0.011923	0.011929	0.01201	0.011925	0.011896	0.011925	0.011928	0.011928	0.011928	0.011924	0.011923	0.011925	0.011923	0.011924	0.011925	0.011924	0.011924	0.011924	0.011924	0.011924	0.011924	0.011924	0.011925	0.011924	0.011924	0.011924	0.011924	0.011924	0.011924	0.011927	0.011924	0.011924	0.011924	0.011924	0.011902	0.011924	0.011924	0.011924	0.011926	0.011924	0.011923	0.011924	0.011923	0.011926	0.011924	0.011936	0.011909	0.011924	0.011897	0.011924	0.011926	0.011928	0.011923	0.011921	0.010254	0.011924	0.011924	0.011924	0.011924	0.011925	0.011923	0.011939	0.011924	
RORC	0.011927	0.011927	0.011927	0.011928	0.011926	0.011927	0.011926	0.011926	0.011926	0.011925	0.011926	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011927	0.011926	0.011922	0.011927	0.011923	0.011863	0.011928	0.011898	0.011926	0.011928	0.011919	0.011929	0.011926	0.011925	0.011927	0.011926	0.011926	0.011929	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.01193	0.011926	0.011926	0.011926	0.011926	0.011904	0.011925	0.011926	0.011926	0.011923	0.011925	0.011926	0.011926	0.011926	0.011928	0.011928	0.011925	0.011922	0.011926	0.011878	0.011928	0.011919	0.011923	0.011926	0.011927	0.01031	0.011926	0.011926	0.011926	0.011926	0.011927	0.011926	0.011917	0.011926	
SATB1	0.011927	0.011927	0.011927	0.011933	0.011927	0.011928	0.011926	0.011926	0.011926	0.011925	0.011926	0.011925	0.011926	0.011928	0.011926	0.011927	0.011927	0.011927	0.011928	0.011927	0.011918	0.011929	0.011921	0.011824	0.011929	0.011898	0.011926	0.011926	0.011915	0.011929	0.011927	0.011925	0.011927	0.011927	0.011926	0.011929	0.011926	0.011927	0.011926	0.011927	0.011926	0.011926	0.011927	0.011929	0.011927	0.011926	0.011927	0.011927	0.011926	0.011926	0.011931	0.011926	0.011926	0.011926	0.011926	0.011905	0.011925	0.011926	0.011926	0.011921	0.011924	0.011928	0.011927	0.011927	0.011928	0.011929	0.011918	0.011933	0.011927	0.011867	0.011929	0.011917	0.011921	0.011927	0.011937	0.010339	0.011927	0.011927	0.011927	0.011927	0.011928	0.011927	0.01191	0.011927	
SIGLEC8	0.010199	0.010204	0.010293	0.0101	0.010307	0.01022	0.010286	0.010276	0.010283	0.010282	0.010289	0.01021	0.010291	0.010187	0.010287	0.010296	0.010309	0.010294	0.01019	0.010302	0.010307	0.010105	0.010246	0.0094128	0.01017	0.012568	0.010237	0.010127	0.010269	0.010021	0.010288	0.010301	0.010211	0.010276	0.010255	0.010162	0.010272	0.010284	0.010274	0.01026	0.010306	0.010309	0.010279	0.010183	0.010271	0.010307	0.010287	0.010296	0.01029	0.010278	0.010006	0.010295	0.010301	0.010274	0.01028	0.012064	0.010317	0.010283	0.010299	0.010267	0.010328	0.010297	0.010283	0.010316	0.010177	0.010189	0.010028	0.00955	0.010293	0.010475	0.01021	0.010251	0.010254	0.01031	0.010339	0.14638	0.010283	0.010266	0.010269	0.010269	0.010218	0.010306	0.010081	0.010291	
STAT5A	0.011927	0.011927	0.011926	0.011928	0.011926	0.011927	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011927	0.011926	0.011922	0.011927	0.011924	0.011878	0.011928	0.011897	0.011926	0.011928	0.01192	0.011929	0.011926	0.011925	0.011927	0.011926	0.011926	0.011929	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.01193	0.011926	0.011926	0.011926	0.011926	0.011904	0.011925	0.011926	0.011926	0.011923	0.011925	0.011926	0.011926	0.011926	0.011928	0.011928	0.011926	0.011921	0.011926	0.011881	0.011928	0.01192	0.011924	0.011926	0.011927	0.010283	0.011926	0.011926	0.011926	0.011926	0.011927	0.011926	0.011919	0.011926	
STAT6	0.011927	0.011927	0.011927	0.011928	0.011926	0.011927	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011928	0.011927	0.011923	0.011927	0.011924	0.011877	0.011929	0.011897	0.011927	0.011929	0.01192	0.01193	0.011926	0.011925	0.011927	0.011926	0.011926	0.011929	0.011926	0.011927	0.011926	0.011926	0.011926	0.011926	0.011927	0.011928	0.011927	0.011926	0.011926	0.011926	0.011926	0.011926	0.011931	0.011926	0.011926	0.011926	0.011926	0.011904	0.011925	0.011926	0.011926	0.011923	0.011925	0.011927	0.011926	0.011926	0.011928	0.011928	0.011929	0.011921	0.011926	0.01188	0.011928	0.01192	0.011924	0.011926	0.011927	0.010266	0.011926	0.011927	0.011926	0.011926	0.011928	0.011926	0.011919	0.011926	
TBX21	0.011927	0.011927	0.011926	0.011928	0.011926	0.011927	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011927	0.011926	0.011923	0.011927	0.011924	0.011888	0.011928	0.011897	0.011926	0.011928	0.011921	0.011929	0.011926	0.011925	0.011927	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.01193	0.011926	0.011926	0.011926	0.011926	0.011904	0.011925	0.011926	0.011926	0.011924	0.011925	0.011926	0.011926	0.011926	0.011928	0.011928	0.011927	0.011921	0.011926	0.011883	0.011928	0.011921	0.011924	0.011926	0.011927	0.010269	0.011926	0.011926	0.011926	0.011926	0.011927	0.011926	0.011921	0.011926	
TGFB1	0.011927	0.011927	0.011926	0.011931	0.011926	0.011927	0.011925	0.011926	0.011926	0.011925	0.011925	0.011926	0.011925	0.011927	0.011925	0.011926	0.011926	0.011926	0.011927	0.011926	0.011923	0.01193	0.011923	0.011879	0.011928	0.011897	0.011926	0.011927	0.01192	0.011929	0.011926	0.011925	0.011927	0.011927	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011928	0.011926	0.011925	0.011926	0.011926	0.011926	0.011925	0.01193	0.011925	0.011926	0.011926	0.011926	0.011903	0.011925	0.011926	0.011926	0.011923	0.011925	0.011926	0.011926	0.011926	0.011927	0.011928	0.011924	0.01195	0.011926	0.011883	0.011927	0.011922	0.011924	0.011926	0.011927	0.010269	0.011926	0.011926	0.011926	0.011926	0.011927	0.011926	0.011919	0.011926	
TNFRSF4	0.011928	0.011928	0.011928	0.011929	0.011927	0.011928	0.011927	0.011927	0.011927	0.011927	0.011927	0.011927	0.011927	0.011929	0.011927	0.011927	0.011927	0.011927	0.011929	0.011928	0.011923	0.011928	0.011924	0.011866	0.01193	0.011897	0.011928	0.01193	0.01192	0.011931	0.011927	0.011926	0.011928	0.011927	0.011927	0.01193	0.011927	0.011928	0.011927	0.011927	0.011927	0.011927	0.011928	0.01193	0.011928	0.011927	0.011927	0.011927	0.011927	0.011927	0.011932	0.011927	0.011927	0.011927	0.011927	0.011904	0.011926	0.011927	0.011927	0.011924	0.011926	0.011928	0.011927	0.011927	0.011929	0.011929	0.011927	0.01192	0.011928	0.011874	0.011929	0.01192	0.011925	0.011927	0.011928	0.010218	0.011927	0.011928	0.011927	0.011927	0.011929	0.011928	0.011919	0.011927	
TNFSF4	0.011927	0.011927	0.011927	0.011928	0.011926	0.011927	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011928	0.011926	0.011926	0.011926	0.011926	0.011928	0.011927	0.011921	0.011927	0.011923	0.011863	0.011929	0.011898	0.011926	0.011928	0.011919	0.011929	0.011926	0.011925	0.011927	0.011926	0.011926	0.011929	0.011926	0.011927	0.011926	0.011926	0.011926	0.011926	0.011927	0.011928	0.011926	0.011926	0.011926	0.011926	0.011926	0.011926	0.011931	0.011926	0.011926	0.011926	0.011926	0.011904	0.011925	0.011926	0.011926	0.011923	0.011925	0.011927	0.011926	0.011926	0.011928	0.011928	0.011925	0.011919	0.011926	0.011878	0.011928	0.011919	0.011923	0.011926	0.011927	0.010306	0.011926	0.011926	0.011926	0.011926	0.011928	0.011926	0.011917	0.011926
