	ADAM33	ADRB2	ALOX5	AREG	ARG1	BCL6	CCL11	CCL17	CCL2	CCL22	CCL24	CCL26	CCL5	CCL8	CCR3	CCR4	CCR8	CD40LG	CHIA	CLC	CLCA1	CMA1	CPA3	CRLF2	CSF2	CSF3R	CYSLTR1	EPX	FCER1A	FOXP3	GATA3	GPR44	ICOS	IFNG	IFNGR2	IL10	IL12A	IL12B	IL13	IL13RA1	IL13RA2	IL17A	IL17RB	IL18	IL1RL1	IL21	IL25	IL2RA	IL3	IL31	IL33	IL3RA	IL4	IL4R	IL5	IL5RA	IL9	KIT	KITLG	LTB4R	MAF	MMP9	MRC1	MS4A2	PDCD1	PMCH	POSTN	PPARG	PRG2	RETNLB	RNASE2	RNASE3	RORC	SATB1	SIGLEC8	STAT5A	STAT6	TBX21	TGFB1	TNFRSF4	TNFSF4	TSLP	
IL3RA	0.012354	0.0073727	0.011555	0.0076584	0.010254	0.013185	0.012839	0.01287	0.012857	0.013013	0.012952	0.013039	0.01292	0.013074	0.012993	0.013016	0.013015	0.013081	0.0079307	0.011432	0.010529	0.012375	0.0079643	0.013059	0.012902	0.014192	0.010265	0.012723	0.010565	0.013034	0.012989	0.012892	0.013141	0.012994	0.012843	0.012872	0.012942	0.012619	0.012735	0.013075	0.013083	0.012927	0.012713	0.012868	0.012907	0.013014	0.013	0.0131	0.013105	0.012051	0.01299	0.013414	0.012938	0.013035	0.012756	0.013361	0.012904	0.013285	0.012876	0.010593	0.013017	0.012551	0.01077	0.012097	0.01328	0.0084667	0.0049469	0.013056	0.010913	0.0084987	0.012259	0.012845	0.013074	0.012781	0.0084667	0.013096	0.012711	0.013003	0.013	0.013536	0.01354	0.013049	
IL4	0.012558	0.0082736	0.011115	0.0077898	0.010826	0.012993	0.012677	0.01277	0.012733	0.012881	0.012886	0.012963	0.01276	0.013001	0.012847	0.012909	0.012885	0.012887	0.0087617	0.011459	0.010699	0.012045	0.0083265	0.012932	0.012661	0.013012	0.0097941	0.01254	0.015417	0.012905	0.012985	0.012849	0.013011	0.012868	0.012916	0.012769	0.012868	0.012596	0.012711	0.013156	0.012947	0.012797	0.012807	0.012743	0.012975	0.01289	0.012904	0.01288	0.012827	0.011469	0.012882	0.012938	0.01295	0.012921	0.012628	0.012897	0.012725	0.012841	0.012565	0.0097882	0.013092	0.012371	0.011305	0.014164	0.013207	0.0083172	0.005536	0.012929	0.010307	0.0093083	0.012024	0.012649	0.013011	0.013492	0.0083172	0.012831	0.012661	0.012908	0.012821	0.013156	0.01329	0.012892	
IL4R	0.015248	0.0090436	0.011033	0.00735	0.010804	0.013013	0.012719	0.012777	0.012757	0.012894	0.012977	0.013048	0.012805	0.013046	0.01293	0.012937	0.012959	0.0129	0.0089823	0.011331	0.010722	0.011692	0.0067032	0.012797	0.012716	0.013419	0.0096331	0.012552	0.013287	0.012922	0.01295	0.013309	0.012964	0.012901	0.013047	0.0128	0.012926	0.012847	0.012762	0.013463	0.013002	0.01282	0.012721	0.012776	0.012915	0.012926	0.012912	0.01293	0.012887	0.011549	0.012896	0.013035	0.012921	0.013109	0.012652	0.013057	0.012754	0.012877	0.012558	0.0095802	0.012976	0.012322	0.011082	0.013832	0.01296	0.00828	0.005644	0.012903	0.010391	0.0094545	0.012021	0.012653	0.01304	0.012907	0.00828	0.012888	0.012722	0.012944	0.012844	0.013095	0.013033	0.012885	
IL5	0.012324	0.0081419	0.011935	0.0073512	0.010633	0.012887	0.012668	0.012645	0.012604	0.012757	0.012813	0.012813	0.012674	0.012863	0.012744	0.012798	0.012782	0.012718	0.0085146	0.012021	0.010773	0.011305	0.0061211	0.012749	0.012609	0.012837	0.011032	0.012706	0.0099094	0.012735	0.012848	0.012754	0.012808	0.012707	0.012692	0.012604	0.012718	0.012441	0.012499	0.012692	0.012753	0.012688	0.013303	0.012684	0.013142	0.012747	0.012854	0.012728	0.012711	0.011339	0.012806	0.012756	0.012628	0.012652	0.012877	0.012796	0.012574	0.01255	0.012469	0.010947	0.012948	0.012136	0.011131	0.011501	0.01278	0.016123	0.0056024	0.012705	0.011247	0.0091059	0.012423	0.01271	0.012819	0.013391	0.016123	0.012677	0.012517	0.012754	0.012674	0.012837	0.012822	0.012743	
IL5RA	0.012638	0.0073457	0.011503	0.0071315	0.010337	0.013113	0.012918	0.012906	0.012872	0.013048	0.01309	0.013128	0.012963	0.013348	0.013087	0.013086	0.013103	0.013015	0.0080908	0.012051	0.010903	0.011809	0.0064417	0.013162	0.012951	0.014461	0.010321	0.012987	0.0099872	0.012989	0.012953	0.013034	0.012993	0.012968	0.012816	0.012842	0.012928	0.012628	0.012755	0.013066	0.013092	0.012931	0.013005	0.012867	0.01293	0.013	0.013051	0.013095	0.01314	0.012133	0.013014	0.013361	0.012897	0.013057	0.012796	0.013521	0.012904	0.013129	0.012787	0.010187	0.012945	0.012437	0.010889	0.011873	0.012805	0.0087151	0.0055233	0.013048	0.01143	0.0086318	0.012608	0.013018	0.013038	0.012645	0.0087151	0.013121	0.012741	0.012976	0.01298	0.013196	0.01297	0.013032	
IL9	0.012189	0.0078535	0.011395	0.0080333	0.010994	0.012902	0.012684	0.012739	0.012703	0.012828	0.012817	0.01285	0.012742	0.012922	0.012798	0.012836	0.01282	0.012804	0.0089513	0.012459	0.012257	0.01259	0.010363	0.012997	0.012667	0.013079	0.010262	0.012725	0.010313	0.012807	0.012807	0.012731	0.012851	0.012786	0.012828	0.012699	0.012777	0.012475	0.012633	0.012903	0.012888	0.012748	0.012938	0.012696	0.012897	0.0128	0.012873	0.012825	0.012818	0.011759	0.012828	0.012904	0.012725	0.012754	0.012574	0.012904	0.012769	0.01292	0.012632	0.01033	0.012824	0.012416	0.01152	0.011829	0.0129	0.0083357	0.0098345	0.01287	0.010731	0.0095053	0.012327	0.012782	0.012893	0.012674	0.0083357	0.012803	0.012632	0.012794	0.01278	0.012971	0.012957	0.012835	
KIT	0.012104	0.0070856	0.011591	0.0083809	0.009951	0.012876	0.012704	0.012697	0.01274	0.012825	0.012755	0.012845	0.012801	0.012847	0.012816	0.012832	0.012838	0.012874	0.0076833	0.011289	0.010576	0.015391	0.018338	0.01283	0.01278	0.013658	0.010438	0.012545	0.010607	0.012812	0.01275	0.012701	0.012818	0.012817	0.012578	0.012688	0.012733	0.012417	0.012583	0.012887	0.01294	0.01276	0.01245	0.012702	0.012611	0.012816	0.012831	0.012915	0.012982	0.011915	0.012807	0.013285	0.012841	0.012877	0.01255	0.013129	0.01292	0.013855	0.013122	0.011098	0.012739	0.012819	0.010526	0.012036	0.012643	0.0075445	0.0052971	0.012992	0.010766	0.0081855	0.012091	0.012684	0.012844	0.012425	0.0075445	0.012953	0.012516	0.012784	0.012917	0.013094	0.012869	0.012845	
KITLG	0.011639	0.0071828	0.015271	0.010578	0.010183	0.012615	0.012758	0.012524	0.012587	0.01262	0.012552	0.012593	0.01263	0.012609	0.012604	0.012636	0.012634	0.012637	0.0078439	0.011307	0.010401	0.013684	0.013779	0.01255	0.012666	0.013015	0.016627	0.012425	0.0098523	0.012578	0.012536	0.012484	0.012578	0.012611	0.012427	0.01249	0.012533	0.012216	0.012371	0.012532	0.012655	0.012564	0.012552	0.012717	0.012567	0.012586	0.012644	0.012639	0.012716	0.011406	0.012641	0.012876	0.012565	0.012558	0.012469	0.012787	0.012632	0.013122	0.01325	0.018489	0.012523	0.012675	0.010928	0.011398	0.012473	0.0081821	0.0052125	0.0128	0.010773	0.0083964	0.01206	0.012514	0.012628	0.012285	0.0081821	0.012655	0.012324	0.012558	0.012709	0.012735	0.01259	0.012605	
LTB4R	0.0069875	0.0037231	0.067461	0.0049815	0.0057447	0.0088762	0.013638	0.0097066	0.01038	0.0097091	0.0091913	0.009133	0.010527	0.0084184	0.0098479	0.0096793	0.009825	0.0097592	0.004031	0.0071784	0.0065182	0.010726	0.0056351	0.0080242	0.01187	0.0096337	0.10389	0.0097758	0.0050545	0.0093626	0.0090929	0.0094508	0.008956	0.0099328	0.0082626	0.009566	0.0094452	0.0091817	0.0095101	0.0083829	0.0093647	0.0097793	0.0096387	0.012963	0.0095159	0.0096116	0.0098001	0.0097084	0.010492	0.0064369	0.010172	0.010593	0.0097882	0.0095802	0.010947	0.010187	0.01033	0.011098	0.018489	0.12458	0.0088117	0.010221	0.006435	0.0068661	0.0077855	0.0052961	0.0022271	0.0096778	0.0073797	0.0042848	0.0094991	0.0099591	0.0087691	0.0080048	0.0052961	0.0098708	0.0092754	0.0093927	0.010517	0.008798	0.0079786	0.0095084	
MAF	0.012077	0.0079647	0.010731	0.0067409	0.010893	0.013535	0.01272	0.01287	0.012843	0.01301	0.012952	0.013089	0.012851	0.012928	0.012929	0.013043	0.012976	0.01311	0.008653	0.010697	0.010428	0.011313	0.0055395	0.012641	0.012713	0.01289	0.0088774	0.012373	0.010429	0.013203	0.013841	0.012862	0.013539	0.01313	0.013203	0.013016	0.013178	0.012795	0.01282	0.013239	0.013123	0.01303	0.012847	0.012974	0.013666	0.013249	0.013091	0.013057	0.012919	0.011074	0.01311	0.013017	0.013092	0.012976	0.012948	0.012945	0.012824	0.012739	0.012523	0.0088117	0.014637	0.012333	0.010904	0.011924	0.013781	0.0090406	0.0050994	0.013065	0.0093433	0.0094951	0.011658	0.012576	0.013536	0.018524	0.0090406	0.01294	0.012906	0.013347	0.01298	0.013472	0.013689	0.013051	
MMP9	0.011316	0.0073292	0.010999	0.042239	0.010433	0.012438	0.012284	0.012331	0.012545	0.012404	0.012275	0.012351	0.012506	0.0123	0.012349	0.012421	0.012382	0.012581	0.0083067	0.010697	0.010079	0.013962	0.014079	0.012201	0.012374	0.012529	0.0098318	0.011994	0.0093887	0.01244	0.01239	0.01219	0.012447	0.012505	0.012459	0.012462	0.012392	0.012082	0.012271	0.012365	0.012483	0.012504	0.012229	0.012334	0.012383	0.012403	0.012403	0.012432	0.01246	0.011294	0.01241	0.012551	0.012371	0.012322	0.012136	0.012437	0.012416	0.012819	0.012675	0.010221	0.012333	0.015269	0.011136	0.011092	0.012481	0.0073512	0.0049486	0.013287	0.010212	0.0087403	0.011584	0.012141	0.01268	0.012	0.0073512	0.012438	0.012147	0.012404	0.012744	0.012564	0.012495	0.012388	
MRC1	0.0089248	0.0053193	0.0083167	0.0055548	0.05495	0.011072	0.011378	0.016173	0.015213	0.012367	0.011311	0.011466	0.011758	0.011441	0.011826	0.012105	0.011964	0.011796	0.016501	0.0079486	0.0086207	0.0091356	0.0036953	0.012854	0.011298	0.010286	0.0065863	0.010214	0.0065441	0.011664	0.011179	0.011097	0.011243	0.011597	0.01101	0.013206	0.011452	0.011162	0.011626	0.010961	0.011298	0.011404	0.0099219	0.011505	0.010426	0.011267	0.011001	0.011306	0.011352	0.0078674	0.011523	0.01077	0.011305	0.011082	0.011131	0.010889	0.01152	0.010526	0.010928	0.006435	0.010904	0.011136	0.086751	0.0086653	0.010695	0.0053844	0.0034004	0.01151	0.0070312	0.03205	0.0094202	0.010424	0.010924	0.009634	0.0053844	0.011156	0.013343	0.011334	0.011645	0.010748	0.010437	0.011748	
MS4A2	0.01188	0.006229	0.0087378	0.0054269	0.0085709	0.011466	0.011569	0.011655	0.011667	0.011729	0.011905	0.012456	0.011698	0.011124	0.011925	0.011794	0.011792	0.011874	0.0086306	0.0088769	0.0093391	0.010533	0.0049579	0.010689	0.011599	0.01198	0.006931	0.010803	0.080383	0.011882	0.012039	0.01183	0.011808	0.011923	0.011751	0.011794	0.011985	0.011724	0.013016	0.013186	0.012421	0.01169	0.010667	0.011711	0.011121	0.011994	0.011969	0.012062	0.011848	0.0087733	0.011917	0.012097	0.014164	0.013832	0.011501	0.011873	0.011829	0.012036	0.011398	0.0068661	0.011924	0.011092	0.0086653	0.053924	0.011062	0.0058583	0.0043785	0.011645	0.0074793	0.0077092	0.0098841	0.011312	0.011593	0.011775	0.0058583	0.011786	0.011706	0.012027	0.011915	0.011974	0.011674	0.01183	
PDCD1	0.011194	0.007345	0.0099555	0.0067355	0.010839	0.014009	0.012577	0.012988	0.012929	0.013181	0.012643	0.012868	0.012878	0.012505	0.012816	0.013052	0.012894	0.013899	0.0076567	0.009546	0.0097191	0.011025	0.0048463	0.012665	0.012709	0.012667	0.0077969	0.011842	0.0090054	0.014097	0.013577	0.012498	0.015427	0.013651	0.01364	0.013754	0.013444	0.012899	0.012847	0.013087	0.013172	0.013174	0.01215	0.013039	0.012932	0.013433	0.013053	0.013358	0.012993	0.010525	0.013081	0.01328	0.013207	0.01296	0.01278	0.012805	0.0129	0.012643	0.012473	0.0077855	0.013781	0.012481	0.010695	0.011062	0.025474	0.0070223	0.0040833	0.012947	0.00839	0.0086835	0.010974	0.012251	0.013643	0.013069	0.0070223	0.01303	0.012984	0.01357	0.013176	0.015826	0.020759	0.013624	
PMCH	0.0064113	0.0034868	0.0079757	0.0028844	0.0050733	0.009006	0.0085231	0.008439	0.008388	0.0086375	0.0089594	0.0089274	0.0085868	0.0074472	0.0086617	0.0087422	0.0087219	0.0084866	0.0036099	0.0064353	0.0056024	0.0061211	0.0021794	0.0070395	0.0083848	0.0075655	0.0053817	0.0087383	0.0042661	0.0084898	0.0087726	0.0087247	0.0085279	0.0084047	0.0072427	0.0083087	0.0085953	0.0081419	0.0082122	0.0071924	0.0079735	0.0084615	0.0095518	0.0086526	0.0094139	0.0086231	0.008851	0.0085396	0.0085396	0.0054014	0.0087885	0.0084667	0.0083172	0.00828	0.016123	0.0087151	0.0083357	0.0075445	0.0081821	0.0052961	0.0090406	0.0073512	0.0053844	0.0058583	0.0070223	0.37892	0.0019524	0.0073907	0.0054391	0.0039123	0.0083013	0.0086847	0.0077289	0.0096208	0.011041	0.0082789	0.0082473	0.0086366	0.0085385	0.0076477	0.0071383	0.0085116
POSTN	0.003568	0.0018446	0.0033711	0.0016469	0.0042514	0.005153	0.0059537	0.0056706	0.0054995	0.00535	0.0059859	0.0056501	0.0059374	0.004962	0.0058304	0.0051776	0.0052333	0.0053343	0.0040456	0.036414	0.11543	0.0045968	0.0015374	0.0041245	0.0058821	0.0045799	0.0023888	0.0093536	0.0026516	0.0055825	0.0053667	0.0052139	0.0051164	0.0056056	0.0050927	0.0056293	0.0056245	0.0052963	0.008643	0.0058164	0.00618	0.0055016	0.0042709	0.0056927	0.004391	0.0057473	0.005774	0.005986	0.0059253	0.0029744	0.0054557	0.0049469	0.005536	0.005644	0.0056024	0.0055233	0.0098345	0.0052971	0.0052125	0.0022271	0.0050994	0.0049486	0.0034004	0.0043785	0.0040833	0.0019524	0.44629	0.0045517	0.0043183	0.0041155	0.0095857	0.0089869	0.004701	0.0039886	0.0019524	0.0053745	0.0087574	0.0055024	0.0054219	0.0045705	0.0041186	0.0057667	
PPARG	0.011897	0.0078614	0.011082	0.013123	0.010502	0.013163	0.012886	0.012928	0.013047	0.013043	0.012893	0.012987	0.012943	0.013076	0.012947	0.01308	0.013023	0.013051	0.0078188	0.010801	0.010205	0.012165	0.0071146	0.013029	0.012803	0.013111	0.0098534	0.012469	0.010035	0.013097	0.013142	0.012811	0.013086	0.01305	0.012991	0.012932	0.013042	0.012748	0.012758	0.012908	0.01307	0.013162	0.013192	0.012916	0.013178	0.01309	0.013077	0.013016	0.012982	0.013274	0.013055	0.013056	0.012929	0.012903	0.012705	0.013048	0.01287	0.012992	0.0128	0.0096778	0.013065	0.013287	0.01151	0.011645	0.012947	0.0073907	0.0045517	0.01488	0.0098002	0.0084388	0.01186	0.01264	0.014099	0.01278	0.0073907	0.013135	0.012715	0.013128	0.013102	0.013136	0.012983	0.01302	
PRG2	0.0078639	0.0042782	0.010066	0.0046367	0.0064065	0.0094816	0.012435	0.010645	0.010698	0.010469	0.011102	0.010026	0.012665	0.0094597	0.011346	0.010422	0.010973	0.010524	0.0046031	0.025054	0.01115	0.0084859	0.0032577	0.0088913	0.016739	0.011417	0.0079098	0.018482	0.0054323	0.0099999	0.0096356	0.010419	0.0095539	0.010369	0.0088722	0.010255	0.0098001	0.009853	0.010311	0.0090804	0.0099767	0.010328	0.0096283	0.010552	0.0093319	0.010292	0.010173	0.010802	0.011494	0.0068591	0.010716	0.010913	0.010307	0.010391	0.011247	0.01143	0.010731	0.010766	0.010773	0.0073797	0.0093433	0.010212	0.0070312	0.0074793	0.00839	0.0054391	0.0043183	0.0098002	0.17257	0.0048976	0.046228	0.014352	0.0092847	0.008436	0.0054391	0.010398	0.010112	0.0098212	0.01071	0.0094325	0.0086756	0.010475	
RETNLB	0.0073192	0.004246	0.0061646	0.0035106	0.063686	0.0096757	0.0090695	0.010759	0.010349	0.0095341	0.0096875	0.0099599	0.0092954	0.0095974	0.009616	0.0092903	0.0092525	0.0095271	0.11895	0.0063662	0.0088234	0.0067884	0.0023625	0.0081372	0.0091232	0.0079601	0.0044901	0.0079599	0.005224	0.0097198	0.0097147	0.0092336	0.009561	0.0096167	0.0098099	0.011747	0.010096	0.0095139	0.01263	0.010515	0.0098832	0.0094223	0.0075823	0.0096474	0.0082743	0.0096434	0.0091211	0.009568	0.0091352	0.0059319	0.0092934	0.0084987	0.0093083	0.0094545	0.0091059	0.0086318	0.0095053	0.0081855	0.0083964	0.0042848	0.0094951	0.0087403	0.03205	0.0077092	0.0086835	0.0039123	0.0041155	0.0084388	0.0048976	0.12493	0.0071009	0.0081468	0.0088492	0.0079154	0.0039123	0.0090533	0.0147	0.0098571	0.0094452	0.0085666	0.0082022	0.0095259	
RNASE2	0.010576	0.0058858	0.011161	0.006193	0.0087797	0.011735	0.013036	0.012153	0.012145	0.012218	0.013056	0.012152	0.013044	0.011971	0.012723	0.012293	0.01247	0.012095	0.0066527	0.027096	0.015947	0.010382	0.0047111	0.011361	0.013783	0.012475	0.010099	0.017502	0.0077828	0.011929	0.011768	0.012364	0.011708	0.012049	0.011281	0.011902	0.011817	0.011568	0.012047	0.011511	0.012019	0.011993	0.012178	0.012064	0.011657	0.012027	0.012149	0.012372	0.012739	0.0091894	0.012219	0.012259	0.012024	0.012021	0.012423	0.012608	0.012327	0.012091	0.01206	0.0094991	0.011658	0.011584	0.0094202	0.0098841	0.010974	0.0083013	0.0095857	0.01186	0.046228	0.0071009	0.024267	0.015784	0.011602	0.011146	0.0083013	0.012023	0.011982	0.011833	0.012157	0.011677	0.011185	0.012107	
RNASE3	0.011645	0.0067859	0.011351	0.0069288	0.0098471	0.012637	0.013011	0.012662	0.012637	0.012786	0.0133	0.012835	0.013018	0.012797	0.013019	0.012857	0.012901	0.012703	0.0076376	0.021046	0.014696	0.011293	0.0057971	0.012387	0.01298	0.01308	0.010305	0.015333	0.0096673	0.012653	0.012591	0.012854	0.012592	0.012672	0.012321	0.012534	0.012579	0.01225	0.012594	0.01254	0.012766	0.012605	0.012808	0.012605	0.012538	0.012679	0.012794	0.012889	0.013037	0.01045	0.012756	0.012845	0.012649	0.012653	0.01271	0.013018	0.012782	0.012684	0.012514	0.0099591	0.012576	0.012141	0.010424	0.011312	0.012251	0.0086847	0.0089869	0.01264	0.014352	0.0081468	0.015784	0.01492	0.012556	0.012306	0.0086847	0.012655	0.012566	0.012604	0.012701	0.012697	0.012434	0.012716	
RORC	0.012881	0.011472	0.010689	0.0079059	0.010566	0.013495	0.012822	0.012933	0.012996	0.013073	0.012939	0.013078	0.01293	0.012975	0.012974	0.013108	0.013039	0.013153	0.0082433	0.010447	0.010247	0.011461	0.0055138	0.0128	0.012789	0.013025	0.0088692	0.012333	0.0096294	0.013282	0.01347	0.01297	0.0134	0.013191	0.013668	0.013083	0.013315	0.013188	0.01287	0.01319	0.013191	0.013212	0.013063	0.013054	0.013678	0.013283	0.013161	0.013111	0.012988	0.012449	0.01318	0.013074	0.013011	0.01304	0.012819	0.013038	0.012893	0.012844	0.012628	0.0087691	0.013536	0.01268	0.010924	0.011593	0.013643	0.0077289	0.004701	0.014099	0.0092847	0.0088492	0.011602	0.012556	0.01437	0.013776	0.0077289	0.013108	0.012871	0.013375	0.013099	0.013416	0.013462	0.013099	
SATB1	0.011178	0.0067325	0.010276	0.0057244	0.0095939	0.013479	0.012514	0.012648	0.012644	0.012828	0.012783	0.012973	0.012678	0.01228	0.012736	0.012879	0.01277	0.01299	0.0072057	0.0097991	0.0096389	0.010887	0.0049585	0.0118	0.012515	0.012305	0.0080746	0.011978	0.010514	0.013233	0.015795	0.012622	0.013914	0.01318	0.012614	0.012948	0.013168	0.012668	0.012716	0.012935	0.012971	0.013026	0.012507	0.012966	0.014269	0.013517	0.012997	0.012951	0.012738	0.0099506	0.013067	0.012781	0.013492	0.012907	0.013391	0.012645	0.012674	0.012425	0.012285	0.0080048	0.018524	0.012	0.009634	0.011775	0.013069	0.0096208	0.0039886	0.01278	0.008436	0.0079154	0.011146	0.012306	0.013776	0.037199	0.0096208	0.012728	0.012909	0.013741	0.012857	0.013222	0.01314	0.012873	
SIGLEC8	0.0064113	0.0034868	0.0079757	0.0028844	0.0050733	0.009006	0.0085231	0.008439	0.008388	0.0086375	0.0089594	0.0089274	0.0085868	0.0074472	0.0086617	0.0087422	0.0087219	0.0084866	0.0036099	0.0064353	0.0056024	0.0061211	0.0021794	0.0070395	0.0083848	0.0075655	0.0053817	0.0087383	0.0042661	0.0084898	0.0087726	0.0087247	0.0085279	0.0084047	0.0072427	0.0083087	0.0085953	0.0081419	0.0082122	0.0071924	0.0079735	0.0084615	0.0095518	0.0086526	0.0094139	0.0086231	0.008851	0.0085396	0.0085396	0.0054014	0.0087885	0.0084667	0.0083172	0.00828	0.016123	0.0087151	0.0083357	0.0075445	0.0081821	0.0052961	0.0090406	0.0073512	0.0053844	0.0058583	0.0070223	0.011041	0.0019524	0.0073907	0.0054391	0.0039123	0.0083013	0.0086847	0.0077289	0.0096208	0.37892	0.0082789	0.0082473	0.0086366	0.0085385	0.0076477	0.0071383	0.0085116
STAT5A	0.012214	0.0077508	0.01116	0.0077184	0.01064	0.013173	0.012753	0.01291	0.012815	0.013069	0.012904	0.012989	0.012839	0.013573	0.012943	0.013047	0.013027	0.012956	0.0085015	0.011241	0.010584	0.011832	0.0070424	0.014195	0.012762	0.013518	0.0097957	0.01255	0.010169	0.012975	0.012943	0.012827	0.013013	0.012918	0.012863	0.012813	0.012902	0.012587	0.01269	0.012938	0.012962	0.013082	0.012832	0.012794	0.01297	0.01296	0.01294	0.012969	0.012946	0.017987	0.012947	0.013096	0.012831	0.012888	0.012677	0.013121	0.012803	0.012953	0.012655	0.0098708	0.01294	0.012438	0.011156	0.011786	0.01303	0.0082789	0.0053745	0.013135	0.010398	0.0090533	0.012023	0.012655	0.013108	0.012728	0.0082789	0.013294	0.012701	0.012964	0.01289	0.013138	0.013125	0.01308	
STAT6	0.012618	0.0085509	0.010824	0.007185	0.014233	0.012966	0.012567	0.0128	0.012716	0.012807	0.01285	0.012903	0.012663	0.013251	0.012793	0.012851	0.012827	0.012765	0.013219	0.011885	0.011809	0.011219	0.0058844	0.012846	0.012541	0.012766	0.0094023	0.012508	0.010109	0.012807	0.012842	0.01281	0.012876	0.012762	0.012927	0.012801	0.012806	0.012546	0.012714	0.013165	0.012833	0.012684	0.012592	0.01265	0.012831	0.012782	0.012759	0.012761	0.012693	0.011228	0.01276	0.012711	0.012661	0.012722	0.012517	0.012741	0.012632	0.012516	0.012324	0.0092754	0.012906	0.012147	0.013343	0.011706	0.012984	0.0082473	0.0087574	0.012715	0.010112	0.0147	0.011982	0.012566	0.012871	0.012909	0.0082473	0.012701	0.012885	0.012813	0.012687	0.012903	0.012951	0.012781	
TBX21	0.012772	0.0099027	0.011032	0.0074476	0.011183	0.013378	0.012732	0.012862	0.012839	0.012979	0.012925	0.013028	0.012834	0.013051	0.012914	0.013004	0.012964	0.013027	0.0092455	0.01102	0.010631	0.011463	0.0059321	0.012922	0.012721	0.013059	0.0094468	0.012455	0.010496	0.013081	0.013206	0.012924	0.01324	0.013019	0.013406	0.012943	0.013095	0.012872	0.012785	0.013176	0.013058	0.012977	0.012918	0.012902	0.013367	0.013071	0.013021	0.012992	0.012901	0.012197	0.013028	0.013003	0.012908	0.012944	0.012754	0.012976	0.012794	0.012784	0.012558	0.0093927	0.013347	0.012404	0.011334	0.012027	0.01357	0.0086366	0.0055024	0.013128	0.0098212	0.0098571	0.011833	0.012604	0.013375	0.013741	0.0086366	0.012964	0.012813	0.013124	0.012931	0.013314	0.013475	0.013004	
TGFB1	0.012103	0.0079755	0.011519	0.011002	0.011054	0.01304	0.012755	0.012828	0.012826	0.012919	0.012887	0.012956	0.012834	0.012969	0.012877	0.012947	0.012916	0.012938	0.0089836	0.011432	0.010686	0.012074	0.0075316	0.012868	0.012749	0.013128	0.010301	0.012603	0.010394	0.012941	0.012955	0.012796	0.01301	0.012917	0.013083	0.012835	0.012925	0.012601	0.012704	0.013021	0.013017	0.012874	0.012961	0.012819	0.013078	0.012922	0.012976	0.012926	0.012895	0.011764	0.012954	0.013	0.012821	0.012844	0.012674	0.01298	0.01278	0.012917	0.012709	0.010517	0.01298	0.012744	0.011645	0.011915	0.013176	0.0085385	0.0054219	0.013102	0.01071	0.0094452	0.012157	0.012701	0.013099	0.012857	0.0085385	0.01289	0.012687	0.012931	0.012932	0.013139	0.013159	0.012922	
TNFRSF4	0.01184	0.0074086	0.010619	0.0071737	0.0104	0.013679	0.012798	0.013011	0.012965	0.013185	0.01295	0.013107	0.012979	0.012949	0.013017	0.013132	0.013067	0.013517	0.0078658	0.010606	0.010233	0.011685	0.0059511	0.013048	0.012872	0.013486	0.0087349	0.012421	0.010468	0.013452	0.013328	0.012834	0.013988	0.013287	0.013192	0.013185	0.013215	0.012796	0.01287	0.013246	0.013253	0.013098	0.012615	0.013007	0.013086	0.013274	0.013147	0.01333	0.013136	0.011177	0.013145	0.013536	0.013156	0.013095	0.012837	0.013196	0.012971	0.013094	0.012735	0.008798	0.013472	0.012564	0.010748	0.011974	0.015826	0.0076477	0.0045705	0.013136	0.0094325	0.0085666	0.011677	0.012697	0.013416	0.013222	0.0076477	0.013138	0.012903	0.013314	0.013139	0.014994	0.016287	0.013381	
TNFSF4	0.011185	0.0067915	0.010091	0.0066321	0.010205	0.013992	0.012672	0.013071	0.012949	0.013297	0.012759	0.012966	0.012939	0.012616	0.012907	0.013098	0.01298	0.013949	0.0074107	0.0098311	0.0098142	0.0113	0.0052941	0.013469	0.012794	0.012982	0.0079785	0.012037	0.010185	0.013855	0.013481	0.012601	0.015036	0.013513	0.0131	0.013472	0.013297	0.012776	0.012857	0.013091	0.01323	0.013159	0.012328	0.013027	0.012939	0.013404	0.013152	0.013432	0.013092	0.01061	0.013155	0.01354	0.01329	0.013033	0.012822	0.01297	0.012957	0.012869	0.01259	0.0079786	0.013689	0.012495	0.010437	0.011674	0.020759	0.0071383	0.0041186	0.012983	0.0086756	0.0082022	0.011185	0.012434	0.013462	0.01314	0.0071383	0.013125	0.012951	0.013475	0.013159	0.016287	0.020823	0.013799	
TSLP	0.01199	0.007623	0.011055	0.0072983	0.011066	0.013182	0.012801	0.013093	0.012876	0.013263	0.012953	0.013028	0.012886	0.013172	0.012969	0.013072	0.013039	0.013054	0.008991	0.011401	0.010797	0.011576	0.0062779	0.015425	0.012777	0.013152	0.0095962	0.01261	0.010274	0.01306	0.013022	0.012839	0.013183	0.01299	0.012933	0.012888	0.012957	0.012606	0.012758	0.013014	0.013056	0.012953	0.013224	0.012851	0.013173	0.013008	0.013101	0.013001	0.012951	0.01218	0.013064	0.013049	0.012892	0.012885	0.012743	0.013032	0.012835	0.012845	0.012605	0.0095084	0.013051	0.012388	0.011748	0.01183	0.013624	0.0085116	0.0057667	0.01302	0.010475	0.0095259	0.012107	0.012716	0.013099	0.012873	0.0085116	0.01308	0.012781	0.013004	0.012922	0.013381	0.013799	0.013289	
