       	ADAM33 	ADRB2  	ALOX5  	AREG   	ARG1   	BCL6   	CCL11  	CCL17  	CCL2   	CCL22  	CCL24  	CCL26  	CCL5   	CCL8   	CCR3   	CCR4   	CCR8   	CD40LG 	CHIA   	CLC    	CLCA1  	CMA1   	CPA3   	CRLF2  	CSF2   	CSF3R  	CYSLTR1	EPX    	FCER1A 	FOXP3  	GATA3  	GPR44  	ICOS   	IFNG   	IFNGR2 	IL10   	IL12A  	IL12B  	IL13   	IL13RA1	IL13RA2	IL17A  	IL17RB 	IL18   	IL1RL1 	IL21   	IL25   	IL2RA  	IL3    	IL31   	IL33   	IL3RA  	IL4    	IL4R   	IL5    	IL5RA  	IL9    	KIT    	KITLG  	LTB4R  	MAF    	MMP9   	MRC1   	MS4A2  	PDCD1  	PMCH   	POSTN  	PPARG  	PRG2   	RETNLB 	RNASE2 	RNASE3 	RORC   	SATB1  	SIGLEC8	STAT5A 	STAT6  	TBX21  	TGFB1  	TNFRSF4	TNFSF4 	TSLP   
IL31   	0.0082173	0.0062546	0.0091019	0.0053668	0.0072741	0.012298	0.011196	0.011156	0.011392	0.011311	0.010515	0.010824	0.011282	0.012259	0.011049	0.011534	0.011495	0.011565	0.006337	0.006999	0.0085651	0.0097869	0.0070444	0.012736	0.011419	0.01248	0.007901	0.0094606	0.0065253	0.011892	0.011679	0.010334	0.011597	0.01162	0.01061	0.011637	0.011696	0.011218	0.011352	0.010422	0.011169	0.016535	0.011959	0.011568	0.01214	0.012006	0.011281	0.011924	0.01158	0.15389	0.011672	0.011835	0.011338	0.011397	0.011226	0.012005	0.01165	0.011243	0.01096	0.0069383	0.010984	0.01118	0.0072081	0.0086935	0.010567	0.0053614	0.0043309	0.013167	0.0075076	0.0062768	0.0091374	0.0099726	0.012361	0.0098696	0.0053614	0.017836	0.01115	0.012101	0.011623	0.010994	0.01053	0.012074                                                         
IL33   	0.011195	0.0092553	0.011965	0.0073652	0.010555	0.013001	0.012731	0.012765	0.012698	0.012902	0.01279	0.012908	0.012732	0.012887	0.012785	0.012897	0.012844	0.01285	0.0099371	0.010726	0.011521	0.011829	0.0093723	0.013209	0.012664	0.012886	0.011317	0.012182	0.010286	0.012894	0.013047	0.012646	0.012968	0.01286	0.012968	0.012747	0.012905	0.012582	0.012705	0.012957	0.013021	0.012892	0.013544	0.012907	0.014313	0.012902	0.013089	0.012838	0.012745	0.011672	0.013124	0.012791	0.012746	0.012724	0.012672	0.012866	0.012727	0.01228	0.012415	0.01055	0.013001	0.012308	0.010604	0.011819	0.013026	0.0087265	0.0079694	0.012929	0.011254	0.009886	0.01203	0.01234	0.013073	0.012962	0.0087265	0.012794	0.012676	0.012915	0.012816	0.013003	0.013053	0.01294                                                                    
IL3RA  	0.011205	0.0091637	0.012418	0.007519	0.0097747	0.012972	0.012671	0.012621	0.012623	0.012789	0.012669	0.012812	0.012693	0.012833	0.012742	0.012788	0.012776	0.01287	0.0089562	0.010639	0.011418	0.013201	0.013509	0.012814	0.012721	0.013907	0.012101	0.012141	0.010372	0.012841	0.012788	0.012553	0.01296	0.0128	0.012659	0.012677	0.012753	0.012473	0.012594	0.012861	0.012875	0.012731	0.012512	0.012733	0.012713	0.012816	0.012803	0.012869	0.012862	0.011835	0.012791	0.013165	0.012744	0.01279	0.012556	0.013122	0.012779	0.013146	0.012741	0.011749	0.012812	0.012425	0.0097772	0.011884	0.013353	0.0083375	0.0077446	0.012841	0.011258	0.0089359	0.011974	0.012318	0.012868	0.012567	0.0083375	0.012882	0.012544	0.012807	0.012796	0.013278	0.013401	0.012845                                                                
IL4    	0.011603	0.00995	0.011737	0.0077006	0.010441	0.01285	0.012551	0.012586	0.012553	0.012723	0.012679	0.012809	0.012591	0.012842	0.012665	0.012747	0.012715	0.012734	0.0098105	0.010705	0.011453	0.012373	0.011341	0.012772	0.012537	0.012824	0.011144	0.012054	0.015301	0.012763	0.012846	0.012592	0.012873	0.012724	0.012798	0.012621	0.01274	0.012509	0.012622	0.013017	0.012804	0.012659	0.012674	0.012649	0.012849	0.012752	0.012769	0.012715	0.012634	0.011338	0.012746	0.012744	0.012799	0.012737	0.012482	0.012731	0.012617	0.012529	0.012346	0.010473	0.012953	0.012254	0.010436	0.014032	0.013106	0.0082325	0.008174	0.012778	0.011164	0.0097893	0.011893	0.012218	0.012875	0.013353	0.0082325	0.012668	0.012551	0.012772	0.012665	0.013005	0.01316	0.012748                                                                  
IL4R   	0.013817	0.013358	0.01159	0.0072644	0.010409	0.012835	0.012547	0.012565	0.012554	0.012699	0.012713	0.012848	0.012593	0.012846	0.012699	0.012739	0.012741	0.01271	0.0097719	0.010547	0.011366	0.012211	0.011001	0.01261	0.012549	0.013181	0.010902	0.012011	0.013148	0.012753	0.012778	0.012919	0.012793	0.012725	0.012923	0.012625	0.012776	0.012849	0.012632	0.013278	0.012818	0.012653	0.012556	0.012652	0.012759	0.012758	0.012741	0.012724	0.012652	0.011397	0.012724	0.01279	0.012737	0.012867	0.012469	0.012845	0.012612	0.012498	0.012289	0.010138	0.012804	0.012189	0.010369	0.013657	0.012867	0.0081823	0.0079046	0.012725	0.011041	0.0097471	0.011826	0.012176	0.012889	0.012738	0.0081823	0.012685	0.012569	0.012781	0.012654	0.012883	0.012871	0.012705                                                                 
IL5    	0.011402	0.0097746	0.012124	0.007288	0.010259	0.012755	0.012524	0.012466	0.01243	0.012606	0.012621	0.01267	0.012508	0.012717	0.01257	0.012643	0.012616	0.01257	0.0096116	0.011322	0.011734	0.01165	0.0094851	0.012602	0.012465	0.012656	0.011698	0.012277	0.0098161	0.012602	0.012717	0.012506	0.012678	0.01257	0.012589	0.012462	0.012598	0.012358	0.012424	0.01257	0.012623	0.012555	0.013172	0.012572	0.013018	0.012615	0.012725	0.012571	0.012521	0.011226	0.012672	0.012556	0.012482	0.012469	0.012727	0.012633	0.012474	0.012073	0.012293	0.01123	0.012819	0.012031	0.010266	0.011388	0.012695	0.016032	0.0090429	0.012563	0.011817	0.0096126	0.012196	0.012334	0.012694	0.013262	0.016032	0.012516	0.012419	0.012625	0.012529	0.012681	0.012699	0.012606                                                                     
IL5RA  	0.011485	0.0093937	0.012016	0.0070542	0.0099326	0.012963	0.012767	0.012707	0.012676	0.012878	0.012871	0.012964	0.012774	0.013183	0.012888	0.012913	0.012917	0.012845	0.0091532	0.011309	0.011847	0.012224	0.010406	0.012999	0.012791	0.014248	0.011471	0.012497	0.0098789	0.01284	0.012807	0.012744	0.012851	0.012813	0.012699	0.012687	0.012793	0.01254	0.01266	0.012922	0.012939	0.012783	0.012865	0.012757	0.012799	0.01285	0.012905	0.01291	0.012922	0.012005	0.012866	0.013122	0.012731	0.012845	0.012633	0.013334	0.012786	0.012643	0.012545	0.010709	0.012801	0.012314	0.0099608	0.011739	0.012813	0.0086306	0.0085588	0.012887	0.011923	0.0091332	0.012371	0.012579	0.012898	0.012504	0.0086306	0.012937	0.012626	0.012832	0.012811	0.012972	0.012842	0.012877                                                              
IL9    	0.011265	0.0094624	0.012106	0.0079583	0.010604	0.012785	0.012614	0.012586	0.012561	0.012708	0.012663	0.012728	0.012624	0.012796	0.012663	0.012715	0.012694	0.012688	0.010017	0.011655	0.012062	0.012998	0.01317	0.012867	0.012607	0.012948	0.011716	0.012395	0.010216	0.012696	0.012696	0.012519	0.012739	0.012676	0.012723	0.012582	0.012673	0.012412	0.01255	0.012777	0.01277	0.012644	0.012851	0.012636	0.012803	0.012693	0.012769	0.0127	0.012687	0.01165	0.012727	0.012779	0.012617	0.012612	0.012474	0.012786	0.012673	0.012858	0.012525	0.011194	0.012711	0.012345	0.010626	0.011714	0.012832	0.0082936	0.010062	0.01276	0.011879	0.0099993	0.012319	0.012479	0.012784	0.012567	0.0082936	0.012688	0.012524	0.012686	0.012668	0.012835	0.012847	0.012723                                                                     
KIT    	0.01053	0.0084636	0.012486	0.0081656	0.0090839	0.012265	0.012286	0.012143	0.012271	0.012265	0.012093	0.01226	0.012337	0.012174	0.012261	0.012253	0.012274	0.012393	0.0082847	0.010071	0.01094	0.020547	0.03951	0.012143	0.012476	0.013111	0.012451	0.011623	0.010034	0.012296	0.012192	0.011992	0.012249	0.012347	0.011946	0.012219	0.012191	0.011941	0.012155	0.012294	0.012441	0.012273	0.011812	0.012286	0.011975	0.012325	0.012317	0.012439	0.012675	0.011243	0.01228	0.013146	0.012529	0.012498	0.012073	0.012643	0.012858	0.017086	0.013328	0.012352	0.012143	0.012845	0.0091296	0.01145	0.012148	0.007098	0.0073339	0.012496	0.010665	0.0082373	0.011446	0.011854	0.012229	0.011783	0.007098	0.012632	0.012025	0.012254	0.012504	0.012445	0.01224	0.012346                                                                   
KITLG  	0.010437	0.0084249	0.017802	0.010037	0.0095177	0.012294	0.012714	0.012226	0.012378	0.01235	0.0122	0.012288	0.012443	0.012237	0.012327	0.012359	0.012361	0.012385	0.0088039	0.010391	0.011094	0.014073	0.015492	0.012139	0.012564	0.012703	0.021062	0.011832	0.0094234	0.012312	0.012247	0.012107	0.012274	0.012399	0.01209	0.012243	0.012273	0.011991	0.012187	0.012188	0.012394	0.012328	0.012303	0.012646	0.012303	0.012337	0.012406	0.01238	0.012537	0.01096	0.012415	0.012741	0.012346	0.012289	0.012293	0.012545	0.012525	0.013328	0.014258	0.024253	0.012208	0.012558	0.0096056	0.011005	0.012178	0.0079802	0.0076846	0.01253	0.011005	0.0087636	0.011717	0.011999	0.012302	0.011915	0.0079802	0.012454	0.012095	0.012291	0.012576	0.012353	0.012202	0.012343                                                                 
LTB4R  	0.0068198	0.0047471	0.052914	0.0056475	0.0058791	0.0094052	0.013277	0.010181	0.011132	0.010214	0.0095943	0.0096314	0.011246	0.0089381	0.01031	0.010171	0.0103	0.010356	0.0050714	0.0070844	0.0081782	0.013185	0.0095509	0.0085596	0.01216	0.010345	0.075567	0.0096202	0.0054306	0.009957	0.009615	0.0097936	0.0095118	0.010625	0.0087868	0.010165	0.0099261	0.0096683	0.010102	0.0089541	0.01002	0.010316	0.009861	0.012704	0.0097744	0.010147	0.010269	0.010313	0.011315	0.0069383	0.01055	0.011749	0.010473	0.010138	0.01123	0.010709	0.011194	0.012352	0.024253	0.11468	0.009324	0.011476	0.006165	0.0073407	0.0085222	0.0054397	0.0041328	0.010302	0.0079506	0.0049921	0.0095493	0.010009	0.0093142	0.0084396	0.0054397	0.010709	0.0097869	0.0099074	0.011629	0.0093528	0.0085444	0.010068                                      
MAF    	0.011227	0.0093443	0.011327	0.006684	0.010445	0.013421	0.01261	0.012725	0.01269	0.012882	0.012773	0.012966	0.012699	0.012808	0.012769	0.012913	0.012837	0.012979	0.0096378	0.0099237	0.01108	0.011563	0.0087708	0.012529	0.012595	0.012729	0.010257	0.011826	0.010356	0.013082	0.013727	0.01265	0.013422	0.013003	0.013113	0.012879	0.013072	0.012718	0.012746	0.013129	0.013002	0.012914	0.012753	0.012898	0.013576	0.01313	0.012981	0.012908	0.012721	0.010984	0.013001	0.012812	0.012953	0.012804	0.012819	0.012801	0.012711	0.012143	0.012208	0.009324	0.014527	0.012222	0.010302	0.011829	0.013628	0.0089877	0.0070457	0.012945	0.010351	0.0097276	0.011587	0.012106	0.013432	0.018424	0.0089877	0.012783	0.012805	0.013233	0.012836	0.013377	0.01358	0.01293                                                                  
MMP9   	0.010481	0.0086135	0.012016	0.042122	0.010068	0.012325	0.012215	0.01217	0.012393	0.012277	0.012106	0.012232	0.012371	0.012172	0.012204	0.012291	0.012247	0.01246	0.0094533	0.010013	0.010862	0.01393	0.014338	0.012062	0.012289	0.012387	0.011789	0.011535	0.00929	0.012328	0.012281	0.011986	0.012334	0.012394	0.012359	0.012345	0.012294	0.012009	0.012217	0.012256	0.012373	0.012398	0.012132	0.012292	0.012291	0.012299	0.012302	0.012303	0.01232	0.01118	0.012308	0.012425	0.012254	0.012189	0.012031	0.012314	0.012345	0.012845	0.012558	0.011476	0.012222	0.015153	0.010127	0.010986	0.0124	0.007288	0.0072955	0.013162	0.010575	0.0093742	0.011391	0.011743	0.012567	0.011885	0.007288	0.012325	0.012073	0.012299	0.012623	0.01242	0.012375	0.012276                                                                        
MRC1   	0.0077761	0.0058702	0.0081958	0.0049411	0.055354	0.010454	0.010406	0.013499	0.012834	0.011084	0.010597	0.010835	0.010662	0.010596	0.010824	0.010844	0.010748	0.010776	0.066161	0.0069203	0.0088557	0.0084149	0.0054551	0.01091	0.010376	0.0093747	0.007124	0.0090254	0.006216	0.010813	0.010569	0.010232	0.010516	0.010731	0.010621	0.012434	0.01089	0.010478	0.012233	0.010803	0.010729	0.010561	0.0090808	0.01074	0.0096196	0.010585	0.010279	0.010555	0.010358	0.0072081	0.010604	0.0097772	0.010436	0.010369	0.010266	0.0099608	0.010626	0.0091296	0.0096056	0.006165	0.010302	0.010127	0.058155	0.0085126	0.0098807	0.0048998	0.0046561	0.010219	0.0071773	0.066514	0.0086869	0.0093024	0.010097	0.0089718	0.0048998	0.010251	0.013652	0.010708	0.010685	0.0098541	0.0095519	0.010796                                          
MS4A2  	0.010737	0.0083425	0.0094502	0.0053777	0.008575	0.011367	0.011474	0.011545	0.011543	0.011619	0.011741	0.012341	0.01156	0.01102	0.01178	0.011683	0.011668	0.011753	0.008306	0.0082089	0.0097104	0.010764	0.0080686	0.010595	0.011498	0.011828	0.0083481	0.010309	0.080312	0.011781	0.011939	0.011596	0.011717	0.011809	0.011676	0.011697	0.011895	0.011682	0.01291	0.013076	0.012304	0.011588	0.010587	0.011654	0.011045	0.011887	0.011867	0.011914	0.01166	0.0086935	0.011819	0.011884	0.014032	0.013657	0.011388	0.011739	0.011714	0.01145	0.011005	0.0073407	0.011829	0.010986	0.0085126	0.053822	0.011179	0.0058172	0.0056478	0.011541	0.0084965	0.007798	0.0099566	0.010836	0.011507	0.011688	0.0058172	0.011636	0.011617	0.011928	0.011777	0.011756	0.011599	0.011721                                                          
PDCD1  	0.010558	0.0085016	0.010847	0.0067479	0.010167	0.013873	0.012551	0.01287	0.0128	0.013089	0.012571	0.012845	0.012776	0.01251	0.012738	0.012969	0.012828	0.013779	0.0090688	0.0090352	0.01055	0.011394	0.0081907	0.012662	0.012662	0.012786	0.0095635	0.011405	0.009212	0.013795	0.013423	0.01241	0.014904	0.01343	0.013445	0.013403	0.013302	0.012806	0.012817	0.013056	0.013126	0.013065	0.012177	0.01299	0.012906	0.01331	0.013004	0.013322	0.012869	0.010567	0.013026	0.013353	0.013106	0.012867	0.012695	0.012813	0.012832	0.012148	0.012178	0.0085222	0.013628	0.0124	0.0098807	0.011179	0.020578	0.0070802	0.0059395	0.012905	0.0094997	0.0091129	0.011091	0.011867	0.013507	0.013045	0.0070802	0.012935	0.012897	0.013416	0.013038	0.016725	0.019496	0.013481                                                                 
PMCH   	0.0059038	0.0042289	0.0080583	0.0028617	0.0048646	0.0089517	0.008433	0.0083505	0.0082932	0.0085644	0.0088318	0.0088636	0.0084823	0.0073873	0.0085547	0.008666	0.0086375	0.0084098	0.0041753	0.0059237	0.0067051	0.0062138	0.0038267	0.0069833	0.0082937	0.0074765	0.0060711	0.008141	0.0042337	0.0084302	0.0087174	0.0086025	0.0084743	0.008336	0.007206	0.0082418	0.0085441	0.0080997	0.008191	0.0071476	0.0079178	0.0083987	0.0094953	0.0085992	0.0093639	0.0085614	0.0087942	0.008449	0.0084054	0.0053614	0.0087265	0.0083375	0.0082325	0.0081823	0.016032	0.0086306	0.0082936	0.007098	0.0079802	0.0054397	0.0089877	0.007288	0.0048998	0.0058172	0.0070802	0.37889	0.0035858	0.0073252	0.0061925	0.004182	0.0080358	0.0082799	0.0076792	0.009569	0.011006	0.0081892	0.0082188	0.0085801	0.0084592	0.0075202	0.0070933	0.0084482
POSTN  	0.0049101	0.0031522	0.0063376	0.0024962	0.0048451	0.0070663	0.010332	0.0081626	0.0081266	0.0080204	0.010293	0.0078855	0.010082	0.0071063	0.0094853	0.0080207	0.0083228	0.0078752	0.004313	0.077243	0.056688	0.0062436	0.0035964	0.0060564	0.010701	0.007552	0.0053732	0.027414	0.0037813	0.0076892	0.0073246	0.0081941	0.0071444	0.0079485	0.0065766	0.0078489	0.0075366	0.0073554	0.0093551	0.0071786	0.0079296	0.0078261	0.0069525	0.0079652	0.0065332	0.0079105	0.0079435	0.0089753	0.0098335	0.0043309	0.0079694	0.0077446	0.008174	0.0079046	0.0090429	0.0085588	0.010062	0.0073339	0.0076846	0.0041328	0.0070457	0.0072955	0.0046561	0.0056478	0.0059395	0.0035858	0.20895	0.0070002	0.039854	0.0042969	0.031266	0.024624	0.0066471	0.0060249	0.0035858	0.007738	0.0092663	0.0074872	0.007938	0.0066881	0.0060234	0.0079966   
PPARG  	0.011058	0.0091407	0.011764	0.013047	0.010088	0.013039	0.012757	0.012727	0.012848	0.012891	0.012696	0.012851	0.01277	0.012938	0.012768	0.012926	0.012859	0.012901	0.009325	0.010037	0.011102	0.012403	0.010104	0.012882	0.012668	0.012931	0.011193	0.011897	0.0099482	0.012965	0.013019	0.012587	0.012963	0.012911	0.012892	0.012791	0.012929	0.012657	0.012692	0.012794	0.012941	0.013032	0.013077	0.012834	0.013074	0.012962	0.012955	0.012852	0.012774	0.013167	0.012929	0.012841	0.012778	0.012725	0.012563	0.012887	0.01276	0.012496	0.01253	0.010302	0.012945	0.013162	0.010219	0.011541	0.012905	0.0073252	0.0070002	0.014735	0.010575	0.009283	0.011693	0.012149	0.013978	0.012664	0.0073252	0.012971	0.012629	0.013006	0.012946	0.012961	0.012868	0.012884                                                                 
