       	ADAM33 	ADRB2  	ALOX5  	AREG   	ARG1   	BCL6   	CCL11  	CCL17  	CCL2   	CCL22  	CCL24  	CCL26  	CCL5   	CCL8   	CCR3   	CCR4   	CCR8   	CD40LG 	CHI3L1 	CHIA   	CLC    	CLCA1  	CMA1   	CPA3   	CRLF2  	CSF2   	CSF3R  	CYSLTR1	EPX    	FCER1A 	FOXP3  	GATA3  	GPR44  	ICOS   	IFNG   	IFNGR2 	IL10   	IL12A  	IL12B  	IL13   	IL13RA1	IL13RA2	IL17A  	IL17RB 	IL18   	IL1RL1 	IL21   	IL25   	IL2RA  	IL3    	IL31   	IL33   	IL3RA  	IL4    	IL4R   	IL5    	IL5RA  	IL9    	KIT    	KITLG  	LTB4R  	MAF    	MMP9   	MRC1   	MS4A2  	PDCD1  	PMCH   	POSTN  	PPARG  	PRG2   	RETNLB 	RNASE2 	RNASE3 	RORC   	SATB1  	SIGLEC8	STAT5A 	STAT6  	TBX21  	TGFB1  	TNFRSF4	TNFSF4 	TSLP   
IL33   	0.011327	0.0091612	0.011948	0.0071848	0.012401	0.012618	0.012386	0.012541	0.012435	0.012556	0.012517	0.012602	0.012431	0.012665	0.012453	0.012577	0.012545	0.012505	0.0075936	0.011574	0.010588	0.011128	0.012033	0.011635	0.012758	0.012379	0.012564	0.011856	0.011819	0.0119	0.01254	0.012571	0.012447	0.012597	0.012507	0.012583	0.012496	0.012454	0.012296	0.012409	0.012571	0.012581	0.012478	0.012844	0.012494	0.012795	0.012512	0.012585	0.012497	0.0124	0.011112	0.01258	0.01249	0.012448	0.012449	0.012379	0.012523	0.012421	0.012234	0.012288	0.011553	0.012616	0.01208	0.012551	0.012108	0.012688	0.011165	0.0078042	0.012532	0.011059	0.012341	0.011812	0.012059	0.01262	0.012622	0.0084343	0.012452	0.012483	0.01248	0.012471	0.012594	0.012663	0.012552                                                                               
IL3RA  	0.011151	0.0087676	0.011967	0.0072455	0.012152	0.012588	0.012339	0.012473	0.012423	0.01248	0.012412	0.012529	0.012394	0.012565	0.012433	0.012507	0.012487	0.012494	0.007098	0.010918	0.010405	0.010961	0.012822	0.013091	0.012456	0.012406	0.013421	0.011984	0.011729	0.012979	0.012505	0.012501	0.012351	0.012551	0.012474	0.012464	0.012473	0.012531	0.012254	0.012366	0.012481	0.01253	0.012427	0.012212	0.01244	0.012506	0.012466	0.012475	0.012518	0.012475	0.011456	0.01249	0.012742	0.01248	0.012507	0.012331	0.012735	0.01246	0.012772	0.012487	0.011795	0.012511	0.012136	0.012452	0.012857	0.012662	0.010999	0.0074471	0.012501	0.010957	0.012098	0.011736	0.012009	0.012521	0.012424	0.0081749	0.012527	0.012418	0.012451	0.012461	0.012598	0.012632	0.012493                                                                            
IL4    	0.011548	0.0099343	0.011805	0.0076048	0.012336	0.012532	0.012298	0.01244	0.012375	0.012449	0.012392	0.012515	0.012358	0.012581	0.012374	0.012478	0.012449	0.012436	0.0086789	0.01151	0.010441	0.011011	0.012685	0.012875	0.012475	0.012309	0.012497	0.011822	0.011679	0.012875	0.012468	0.012506	0.01237	0.012521	0.012442	0.012537	0.012437	0.012516	0.012286	0.012356	0.012509	0.012478	0.012387	0.012345	0.012401	0.012489	0.012446	0.01245	0.012424	0.012349	0.011007	0.012448	0.01248	0.012446	0.012426	0.012286	0.012436	0.012389	0.012603	0.012375	0.011571	0.012585	0.012112	0.01251	0.012742	0.012605	0.011022	0.0077726	0.012469	0.010854	0.012257	0.011673	0.011947	0.012539	0.012748	0.0080226	0.012398	0.012414	0.012423	0.012415	0.012517	0.012577	0.01245                                                                            
IL4R   	0.011782	0.01056	0.011678	0.0073121	0.012542	0.012536	0.012297	0.01243	0.012359	0.012436	0.012382	0.01252	0.012359	0.012585	0.01237	0.012472	0.012445	0.012437	0.0095283	0.012277	0.010307	0.010939	0.012471	0.012504	0.012372	0.012304	0.012748	0.011681	0.011621	0.012559	0.012463	0.012477	0.012386	0.012509	0.012441	0.012539	0.01244	0.012478	0.01232	0.012374	0.012569	0.012485	0.012393	0.012379	0.012392	0.012487	0.012463	0.012456	0.012432	0.012354	0.011075	0.012449	0.012507	0.012426	0.012451	0.012272	0.012504	0.012376	0.012488	0.012311	0.011363	0.012518	0.012069	0.012507	0.012553	0.012583	0.010853	0.0075871	0.012446	0.010744	0.012521	0.011624	0.011906	0.012527	0.012512	0.0080069	0.012406	0.012417	0.01241	0.012412	0.012517	0.012563	0.012443                                                                             
IL5    	0.011126	0.009	0.012187	0.0072139	0.012111	0.012471	0.012279	0.012355	0.01229	0.012365	0.012374	0.012426	0.01229	0.012482	0.01233	0.012401	0.012378	0.012335	0.0074494	0.011172	0.011394	0.011502	0.011857	0.011495	0.012337	0.012273	0.012387	0.012068	0.0121	0.011717	0.01236	0.012399	0.012273	0.012427	0.012332	0.012337	0.012321	0.012262	0.012118	0.012238	0.012325	0.012382	0.012295	0.012761	0.012332	0.012458	0.012331	0.012405	0.012344	0.012288	0.010871	0.012379	0.012331	0.012286	0.012272	0.012403	0.012371	0.012276	0.012064	0.012184	0.011906	0.012491	0.011911	0.012308	0.011911	0.012536	0.012228	0.0089893	0.012313	0.011705	0.012059	0.012046	0.012222	0.012389	0.012663	0.015285	0.012272	0.012325	0.012322	0.012297	0.012416	0.01246	0.012358                                                                                 
IL5RA  	0.011218	0.0088701	0.011837	0.0068501	0.012151	0.012578	0.012396	0.012505	0.012417	0.012518	0.012491	0.012608	0.012424	0.012728	0.012498	0.012553	0.012549	0.012496	0.0072537	0.010927	0.010965	0.011326	0.01212	0.011799	0.01258	0.012449	0.013741	0.011786	0.012021	0.011977	0.012503	0.012482	0.012409	0.012527	0.01247	0.012421	0.012461	0.0124	0.012254	0.01237	0.012477	0.012552	0.012435	0.012454	0.012441	0.012539	0.012467	0.012518	0.012551	0.01252	0.011518	0.012523	0.012735	0.012436	0.012504	0.012371	0.012905	0.012451	0.012365	0.012327	0.011466	0.012484	0.012043	0.012439	0.012176	0.012568	0.011516	0.0081739	0.012497	0.011513	0.012116	0.012023	0.012213	0.012507	0.012367	0.0083373	0.012548	0.012439	0.01243	0.012455	0.012581	0.012573	0.01252                                                                              
IL9    	0.011186	0.0090149	0.011926	0.0076587	0.012266	0.012473	0.0123	0.012414	0.012351	0.012422	0.012387	0.012464	0.012348	0.012516	0.012372	0.012439	0.012419	0.012396	0.0074368	0.011473	0.011246	0.011643	0.01255	0.012658	0.012502	0.012325	0.01256	0.011929	0.011969	0.012645	0.012419	0.012427	0.012306	0.012454	0.012398	0.012456	0.012391	0.012437	0.012191	0.012325	0.012443	0.012445	0.012355	0.012422	0.012372	0.012456	0.012397	0.012427	0.012405	0.012359	0.011182	0.012421	0.01246	0.012389	0.012376	0.012276	0.012451	0.012382	0.012515	0.012349	0.011737	0.012454	0.012071	0.012442	0.012584	0.012519	0.011469	0.009708	0.012422	0.011449	0.01221	0.011982	0.01212	0.012459	0.012429	0.0080743	0.012375	0.012379	0.012371	0.012379	0.012464	0.012504	0.01242                                                                              
KIT    	0.010868	0.0082978	0.011651	0.0075029	0.011726	0.012139	0.012106	0.012223	0.012274	0.012192	0.012083	0.012207	0.012201	0.012061	0.012207	0.012193	0.01219	0.01228	0.0066398	0.010308	0.0096749	0.010483	0.016639	0.020317	0.011844	0.012249	0.012644	0.01193	0.011216	0.018537	0.012283	0.012283	0.012044	0.012222	0.012284	0.012297	0.012288	0.013043	0.012086	0.012262	0.012223	0.012323	0.012193	0.011585	0.012247	0.012129	0.012248	0.012221	0.012306	0.012357	0.010679	0.012234	0.012772	0.012603	0.012488	0.012064	0.012365	0.012515	0.015011	0.013154	0.011833	0.012167	0.012334	0.0123	0.016588	0.012114	0.010162	0.0068609	0.012287	0.010193	0.01166	0.011242	0.011603	0.012167	0.011988	0.0068904	0.012376	0.012173	0.012263	0.012342	0.012302	0.01223	0.01223                                                                            
KITLG  	0.01094	0.0085504	0.014457	0.0091075	0.011873	0.012274	0.012276	0.012284	0.012464	0.012269	0.012191	0.012262	0.012249	0.012227	0.012254	0.012287	0.012279	0.012295	0.0069153	0.010652	0.010146	0.010745	0.01366	0.01483	0.012023	0.012299	0.012429	0.014856	0.011484	0.014086	0.012293	0.012327	0.012148	0.012291	0.012299	0.012235	0.012288	0.012505	0.012092	0.01221	0.012223	0.012299	0.012233	0.012009	0.012412	0.012285	0.01226	0.012262	0.012277	0.012285	0.010694	0.012288	0.012487	0.012375	0.012311	0.012184	0.012327	0.012349	0.013154	0.012945	0.015835	0.012282	0.012245	0.012296	0.013552	0.012253	0.01069	0.0074009	0.012366	0.010653	0.011804	0.011497	0.011778	0.012301	0.012188	0.0077367	0.012289	0.012219	0.012416	0.012334	0.012307	0.012287	0.012258                                                                           
LTB4R  	0.009598	0.0064756	0.037855	0.0062345	0.010183	0.011196	0.012552	0.011639	0.013668	0.011531	0.011317	0.011073	0.011751	0.010729	0.011685	0.011509	0.011592	0.011577	0.0047504	0.0080572	0.0080352	0.0089659	0.011896	0.011995	0.01015	0.012312	0.01108	0.038942	0.010263	0.010936	0.011424	0.011607	0.011359	0.011285	0.011615	0.010731	0.011531	0.011397	0.011351	0.011383	0.010857	0.011285	0.011469	0.010713	0.013042	0.011517	0.011377	0.011325	0.011385	0.011681	0.0081161	0.011553	0.011795	0.011571	0.011363	0.011906	0.011466	0.011737	0.011833	0.015835	0.05448	0.0112	0.011732	0.011454	0.011088	0.010806	0.008696	0.0048709	0.011732	0.0087401	0.010084	0.010329	0.010749	0.011283	0.01059	0.0061486	0.011462	0.011365	0.012792	0.011862	0.011216	0.010944	0.011317                                                                      
MAF    	0.011174	0.0086887	0.011677	0.006934	0.012546	0.012978	0.012357	0.012567	0.012475	0.012582	0.012519	0.012644	0.012461	0.012618	0.012455	0.012631	0.012563	0.012624	0.0069118	0.011516	0.0098391	0.01071	0.011918	0.011364	0.012267	0.012359	0.012401	0.011678	0.011475	0.011752	0.012687	0.01301	0.012487	0.012924	0.012644	0.012752	0.012632	0.012557	0.012374	0.012467	0.01274	0.012661	0.01256	0.012389	0.012561	0.01279	0.012695	0.012616	0.012571	0.012396	0.010597	0.012616	0.012511	0.012585	0.012518	0.012491	0.012484	0.012454	0.012167	0.012282	0.0112	0.013637	0.012123	0.012566	0.012019	0.013025	0.01055	0.0068849	0.012611	0.01018	0.012456	0.011462	0.011859	0.01291	0.015333	0.0086315	0.01247	0.012674	0.012687	0.012546	0.012766	0.012906	0.0126                                                                                  
MMP9   	0.010975	0.0090989	0.011711	0.036418	0.011916	0.012156	0.01195	0.012074	0.01218	0.012073	0.011963	0.012051	0.0121	0.012017	0.011993	0.012091	0.012052	0.012193	0.0074832	0.011021	0.0097094	0.010422	0.012754	0.012724	0.011841	0.012024	0.012069	0.011825	0.011136	0.012612	0.012137	0.012145	0.011954	0.012164	0.012163	0.012211	0.012192	0.012193	0.012042	0.012061	0.012139	0.012118	0.012139	0.011835	0.012092	0.012113	0.012101	0.012062	0.012074	0.012011	0.010808	0.01208	0.012136	0.012112	0.012069	0.011911	0.012043	0.012071	0.012334	0.012245	0.011732	0.012123	0.013986	0.01213	0.012476	0.012205	0.010219	0.0069517	0.012564	0.010199	0.011845	0.011162	0.011465	0.012316	0.011999	0.0072139	0.012068	0.012042	0.012201	0.012265	0.01216	0.012216	0.012071                                                                            
MRC1   	0.011063	0.0084638	0.011712	0.0070902	0.014101	0.012552	0.012323	0.012661	0.012549	0.012582	0.012456	0.012559	0.012573	0.012521	0.012439	0.012576	0.012534	0.01254	0.0066781	0.014918	0.009996	0.010769	0.01215	0.011796	0.012595	0.012405	0.012388	0.011603	0.011529	0.012175	0.012568	0.012551	0.012399	0.012588	0.012588	0.012773	0.012598	0.012713	0.012309	0.012519	0.013057	0.012577	0.012481	0.012051	0.012524	0.012546	0.012663	0.012535	0.012502	0.012385	0.010152	0.012551	0.012452	0.01251	0.012507	0.012308	0.012439	0.012442	0.0123	0.012296	0.011454	0.012566	0.01213	0.014319	0.012298	0.01258	0.010503	0.0069623	0.012516	0.010591	0.013586	0.011569	0.011875	0.012589	0.012402	0.0071159	0.012402	0.012582	0.012492	0.012538	0.012574	0.01262	0.012555                                                                             
MS4A2  	0.010799	0.0082011	0.010953	0.0072998	0.011623	0.011907	0.011945	0.012087	0.012176	0.012025	0.011883	0.012038	0.012098	0.011723	0.012072	0.012017	0.012014	0.012189	0.0065796	0.010314	0.0087909	0.0099389	0.019283	0.025137	0.011304	0.012146	0.0123	0.011342	0.010708	0.022431	0.012193	0.012199	0.011879	0.012077	0.012215	0.012388	0.012231	0.013499	0.012043	0.012255	0.012159	0.012247	0.012071	0.011176	0.012141	0.01193	0.012171	0.012102	0.012214	0.012303	0.0095913	0.012108	0.012857	0.012742	0.012553	0.011911	0.012176	0.012584	0.016588	0.013552	0.011088	0.012019	0.012476	0.012298	0.019373	0.011871	0.0092963	0.0059156	0.012159	0.0092179	0.011542	0.010739	0.011242	0.011993	0.011798	0.0063279	0.012294	0.012065	0.01217	0.012303	0.012182	0.012058	0.012092                                                                    
PDCD1  	0.011076	0.0083862	0.011407	0.0069381	0.012492	0.01311	0.012387	0.01266	0.012538	0.012693	0.012547	0.012669	0.012524	0.012612	0.012497	0.012774	0.012626	0.012811	0.0064841	0.011092	0.0095999	0.01053	0.011764	0.011034	0.01244	0.012409	0.012513	0.011306	0.011403	0.011508	0.012905	0.012851	0.012505	0.013275	0.012797	0.012914	0.012861	0.012616	0.012447	0.012514	0.012754	0.012739	0.01269	0.012417	0.01262	0.012751	0.012742	0.012684	0.012708	0.012469	0.010766	0.012688	0.012662	0.012605	0.012583	0.012536	0.012568	0.012519	0.012114	0.012253	0.010806	0.013025	0.012205	0.01258	0.011871	0.014996	0.010384	0.0064275	0.012678	0.0099826	0.012343	0.011394	0.011845	0.012961	0.012923	0.0086392	0.012567	0.012655	0.012716	0.012641	0.013307	0.013912	0.012759                                                                          
PMCH   	0.0091774	0.0059989	0.0098862	0.0044293	0.0095907	0.010515	0.01209	0.01112	0.011019	0.011076	0.012379	0.01102	0.011781	0.010669	0.012229	0.011093	0.011322	0.010968	0.0044644	0.0077074	0.033083	0.022057	0.0092989	0.0082387	0.0096203	0.012254	0.010931	0.0093573	0.022027	0.0086765	0.010827	0.010663	0.011197	0.010629	0.010902	0.010084	0.010845	0.01043	0.010563	0.011155	0.010293	0.010993	0.010761	0.010742	0.011	0.010911	0.010786	0.011012	0.011554	0.0123	0.0073593	0.011165	0.010999	0.011022	0.010853	0.012228	0.011516	0.011469	0.010162	0.01069	0.008696	0.01055	0.010219	0.010503	0.0092963	0.010384	0.046957	0.032712	0.010399	0.027274	0.0096882	0.019858	0.019684	0.010138	0.010375	0.0084716	0.010756	0.0112	0.010608	0.010955	0.010742	0.010362	0.010981                                                                       
POSTN  	0.0060624	0.0033497	0.0059856	0.0023671	0.0062587	0.0068292	0.0094659	0.0078907	0.0078053	0.0077409	0.0094191	0.0075146	0.0090243	0.0069537	0.0093991	0.0075531	0.0078841	0.0076408	0.0023265	0.0049806	0.066936	0.059182	0.0059806	0.004823	0.0058284	0.00977	0.0071933	0.0055511	0.025595	0.0051957	0.0074537	0.0071817	0.007797	0.0070208	0.0076187	0.0068022	0.0075661	0.0070547	0.0073059	0.0089486	0.0069737	0.0077468	0.0074375	0.0066183	0.0077471	0.007324	0.0074997	0.0077349	0.0084042	0.0097618	0.0041003	0.0078042	0.0074471	0.0077726	0.0075871	0.0089893	0.0081739	0.009708	0.0068609	0.0074009	0.0048709	0.0068849	0.0069517	0.0069623	0.0059156	0.0064275	0.032712	0.20598	0.0067557	0.035099	0.0064306	0.026536	0.019044	0.006404	0.0065605	0.0035593	0.0074038	0.0089408	0.0071597	0.0077222	0.0070514	0.0065676	0.0077178       
PPARG  	0.011261	0.0090502	0.011843	0.011633	0.01226	0.012654	0.012367	0.012513	0.012513	0.012529	0.012411	0.012524	0.012424	0.012562	0.0124	0.012563	0.012514	0.012542	0.007306	0.01098	0.0098059	0.010623	0.012199	0.011746	0.012481	0.012344	0.012525	0.01195	0.011436	0.011974	0.012593	0.012621	0.012401	0.01263	0.012544	0.012572	0.012535	0.012483	0.012371	0.012394	0.012581	0.012566	0.012577	0.012559	0.012485	0.012597	0.012544	0.012537	0.012496	0.012377	0.012342	0.012532	0.012501	0.012469	0.012446	0.012313	0.012497	0.012422	0.012287	0.012366	0.011732	0.012611	0.012564	0.012516	0.012159	0.012678	0.010399	0.0067557	0.013357	0.010284	0.012186	0.011454	0.011809	0.013208	0.012489	0.0072303	0.012539	0.012458	0.012569	0.012599	0.012613	0.012688	0.012532                                                                            
PRG2   	0.0090386	0.005871	0.0099843	0.0046117	0.0094819	0.01018	0.012094	0.011021	0.010947	0.010909	0.012252	0.010745	0.011785	0.010408	0.012086	0.010882	0.011193	0.01084	0.0043424	0.0076153	0.034809	0.02383	0.0092635	0.0082404	0.0094467	0.012914	0.011176	0.0093555	0.022824	0.0086067	0.010635	0.010426	0.010998	0.010352	0.010761	0.0099184	0.010712	0.010269	0.010452	0.011085	0.010146	0.010785	0.010621	0.010191	0.010909	0.01084	0.010637	0.010807	0.011343	0.012366	0.0072324	0.011059	0.010957	0.010854	0.010744	0.011705	0.011513	0.011449	0.010193	0.010653	0.0087401	0.01018	0.010199	0.010591	0.0092179	0.0099826	0.027274	0.035099	0.010284	0.049639	0.0095703	0.023662	0.017885	0.0099293	0.009801	0.0061019	0.010659	0.011085	0.010413	0.010874	0.010487	0.010104	0.010859                                                            
RETNLB 	0.010867	0.0082184	0.010679	0.0064803	0.017968	0.012469	0.012029	0.012355	0.012239	0.012297	0.012159	0.012327	0.012514	0.012157	0.012154	0.012288	0.0122	0.012378	0.006496	0.031835	0.0092111	0.010364	0.01127	0.010534	0.011691	0.012096	0.012012	0.010589	0.010948	0.011028	0.012397	0.012443	0.012114	0.01246	0.012518	0.012561	0.012565	0.012397	0.012145	0.012769	0.013721	0.01243	0.012494	0.011865	0.012309	0.01234	0.012913	0.01239	0.012333	0.012104	0.010694	0.012341	0.012098	0.012257	0.012521	0.012059	0.012116	0.01221	0.01166	0.011804	0.010084	0.012456	0.011845	0.013586	0.011542	0.012343	0.0096882	0.0064306	0.012186	0.0095703	0.018962	0.011003	0.011396	0.012467	0.012233	0.0066772	0.012177	0.012673	0.012325	0.012367	0.012368	0.01241	0.01233                                                                              
RNASE2 	0.010231	0.0075468	0.011012	0.0059636	0.01099	0.01147	0.012187	0.011787	0.011707	0.011753	0.012338	0.011746	0.012072	0.011639	0.012239	0.011766	0.011879	0.011691	0.0059897	0.0095959	0.022207	0.018371	0.010729	0.010029	0.011053	0.01241	0.011898	0.010763	0.016553	0.010332	0.011626	0.011538	0.011753	0.011527	0.011657	0.011315	0.011628	0.011409	0.011396	0.011785	0.01142	0.011733	0.011563	0.01157	0.01171	0.011724	0.011604	0.011735	0.011932	0.012311	0.0090068	0.011812	0.011736	0.011673	0.011624	0.012046	0.012023	0.011982	0.011242	0.011497	0.010329	0.011462	0.011162	0.011569	0.010739	0.011394	0.019858	0.026536	0.011454	0.023662	0.011003	0.01671	0.014826	0.011329	0.011287	0.0078312	0.011568	0.011836	0.011496	0.011689	0.011586	0.011433	0.011717                                                                           
RNASE3 	0.010594	0.008068	0.011311	0.0063493	0.011409	0.011865	0.012263	0.012036	0.011953	0.012024	0.012424	0.01207	0.012196	0.012047	0.012346	0.012057	0.012121	0.011966	0.0065113	0.010099	0.018361	0.015567	0.011212	0.010659	0.011548	0.012363	0.012152	0.011133	0.01509	0.010928	0.011935	0.011882	0.012002	0.011892	0.011942	0.01171	0.011917	0.011763	0.011693	0.01198	0.011785	0.012016	0.01186	0.011924	0.011965	0.012009	0.011903	0.012011	0.012146	0.012358	0.0096115	0.012059	0.012009	0.011947	0.011906	0.012222	0.012213	0.01212	0.011603	0.011778	0.010749	0.011859	0.011465	0.011875	0.011242	0.011845	0.019684	0.019044	0.011809	0.017885	0.011396	0.014826	0.01424	0.011747	0.011762	0.0082263	0.011867	0.012044	0.011828	0.011949	0.011937	0.011846	0.01199                                                                              
RORC   	0.011541	0.0098163	0.011661	0.008021	0.012536	0.01289	0.012389	0.012574	0.01253	0.012589	0.012471	0.012581	0.012468	0.012553	0.012434	0.01263	0.012559	0.012633	0.0080025	0.011508	0.0095039	0.010485	0.01193	0.011309	0.012369	0.012361	0.012462	0.011745	0.011317	0.011697	0.012718	0.012818	0.012496	0.012822	0.012652	0.012839	0.012643	0.012571	0.012507	0.01248	0.012742	0.012654	0.012649	0.012486	0.012568	0.012774	0.012688	0.012615	0.012572	0.012401	0.011763	0.01262	0.012521	0.012539	0.012527	0.012389	0.012507	0.012459	0.012167	0.012301	0.011283	0.01291	0.012316	0.012589	0.011993	0.012961	0.010138	0.006404	0.013208	0.0099293	0.012467	0.011329	0.011747	0.013561	0.013002	0.0073992	0.012558	0.012578	0.012692	0.012633	0.012755	0.012887	0.012611                                                                            
SATB1  	0.010975	0.0081586	0.011266	0.0061335	0.012336	0.013004	0.012295	0.012541	0.012425	0.01256	0.012527	0.01266	0.012423	0.012528	0.012428	0.012613	0.012532	0.012631	0.006351	0.010796	0.0095428	0.010545	0.011666	0.010948	0.011878	0.0123	0.012121	0.011181	0.011319	0.011462	0.012743	0.013761	0.012497	0.013155	0.012699	0.01266	0.012652	0.012549	0.012353	0.012457	0.012714	0.012691	0.012563	0.012212	0.012569	0.012933	0.012802	0.012629	0.01257	0.012336	0.0098808	0.012622	0.012424	0.012748	0.012512	0.012663	0.012367	0.012429	0.011988	0.012188	0.01059	0.015333	0.011999	0.012402	0.011798	0.012923	0.010375	0.0065605	0.012489	0.009801	0.012233	0.011287	0.011762	0.013002	0.022149	0.0089358	0.012393	0.012923	0.01283	0.012514	0.01276	0.012847	0.012585                                                                             
SIGLEC8	0.0062843	0.0039831	0.0080296	0.0028458	0.0066388	0.0086348	0.0081279	0.0082203	0.0080527	0.0082766	0.0084981	0.0084178	0.0081176	0.0073917	0.0082481	0.0083757	0.0083466	0.0082359	0.002818	0.0050612	0.0061845	0.0063642	0.0062267	0.0053729	0.0067739	0.0080482	0.0072487	0.0065329	0.0079464	0.0058053	0.0082691	0.008354	0.008315	0.0084322	0.0081251	0.007153	0.0081189	0.0079032	0.0078639	0.0079781	0.0072542	0.0084513	0.0080673	0.0090562	0.0082899	0.0086665	0.0081174	0.0084484	0.0083044	0.0081235	0.0051348	0.0084343	0.0081749	0.0080226	0.0080069	0.015285	0.0083373	0.0080743	0.0068904	0.0077367	0.0061486	0.0086315	0.0072139	0.0071159	0.0063279	0.0086392	0.0084716	0.0035593	0.0072303	0.0061019	0.0066772	0.0078312	0.0082263	0.0073992	0.0089358	0.37832	0.0079389	0.008113	0.0081567	0.0081022	0.008413	0.0077271	0.0082223
STAT5A 	0.011206	0.0090957	0.011727	0.0074718	0.012202	0.012628	0.01228	0.012496	0.01237	0.01254	0.012364	0.012549	0.012345	0.012795	0.012376	0.012519	0.012496	0.012447	0.0074918	0.011226	0.010193	0.01084	0.012243	0.012104	0.013528	0.012308	0.012851	0.011734	0.011567	0.012215	0.012487	0.012462	0.012327	0.012517	0.012436	0.012442	0.012429	0.01241	0.012238	0.012326	0.012434	0.012453	0.012569	0.012293	0.012388	0.012474	0.012443	0.012437	0.012448	0.012356	0.017068	0.012452	0.012527	0.012398	0.012406	0.012272	0.012548	0.012375	0.012376	0.012289	0.011462	0.01247	0.012068	0.012402	0.012294	0.012567	0.010756	0.0074038	0.012539	0.010659	0.012177	0.011568	0.011867	0.012558	0.012393	0.0079389	0.012717	0.012394	0.012419	0.012403	0.012528	0.012585	0.012545                                                                           
STAT6  	0.011324	0.0093054	0.011722	0.0073238	0.012711	0.012636	0.012318	0.012478	0.012383	0.012491	0.012452	0.012599	0.012403	0.012752	0.012414	0.012535	0.012499	0.012463	0.0077528	0.012674	0.010853	0.011396	0.011976	0.011586	0.01252	0.012324	0.012445	0.011683	0.011833	0.011863	0.012499	0.01255	0.01239	0.012575	0.012477	0.01266	0.012473	0.012432	0.01227	0.012399	0.012627	0.012509	0.012421	0.012416	0.012424	0.012542	0.012508	0.012489	0.012449	0.012352	0.010928	0.012483	0.012418	0.012414	0.012417	0.012325	0.012439	0.012379	0.012173	0.012219	0.011365	0.012674	0.012042	0.012582	0.012065	0.012655	0.0112	0.0089408	0.012458	0.011085	0.012673	0.011836	0.012044	0.012578	0.012923	0.008113	0.012394	0.012489	0.012445	0.012425	0.012545	0.012614	0.012483                                                                             
TBX21  	0.011413	0.0095931	0.012764	0.0087548	0.012391	0.012729	0.012337	0.012459	0.012455	0.012468	0.012391	0.012497	0.012374	0.012527	0.012368	0.0125	0.012461	0.012482	0.0080522	0.011603	0.010002	0.010749	0.012137	0.011823	0.012375	0.012321	0.012444	0.012962	0.011494	0.012023	0.012512	0.012577	0.012383	0.01261	0.012484	0.012611	0.012481	0.012452	0.012309	0.012362	0.012539	0.012496	0.012446	0.012359	0.012486	0.012568	0.012496	0.012471	0.012437	0.01233	0.011394	0.01248	0.012451	0.012423	0.01241	0.012322	0.01243	0.012371	0.012263	0.012416	0.012792	0.012687	0.012201	0.012492	0.01217	0.012716	0.010608	0.0071597	0.012569	0.010413	0.012325	0.011496	0.011828	0.012692	0.01283	0.0081567	0.012419	0.012445	0.012542	0.012452	0.012566	0.012655	0.012469                                                                              
TGFB1  	0.011351	0.0094341	0.012006	0.0097071	0.012456	0.012563	0.012314	0.012452	0.012412	0.012458	0.012401	0.0125	0.012382	0.012531	0.012377	0.012489	0.012454	0.01246	0.0078331	0.01175	0.010422	0.011014	0.012276	0.012064	0.012387	0.012325	0.012521	0.012017	0.011682	0.012204	0.012486	0.012506	0.012361	0.012542	0.012465	0.012579	0.012463	0.012454	0.012283	0.012364	0.012592	0.012502	0.012424	0.012395	0.012428	0.012531	0.01247	0.01247	0.012439	0.012351	0.011188	0.012471	0.012461	0.012415	0.012412	0.012297	0.012455	0.012379	0.012342	0.012334	0.011862	0.012546	0.012265	0.012538	0.012303	0.012641	0.010955	0.0077222	0.012599	0.010874	0.012367	0.011689	0.011949	0.012633	0.012514	0.0081022	0.012403	0.012425	0.012452	0.012455	0.012538	0.012607	0.012459                                                                           
TNFRSF4	0.011246	0.0089131	0.011644	0.0073303	0.012452	0.012825	0.012371	0.012572	0.012472	0.012593	0.012509	0.012657	0.012462	0.01273	0.012472	0.012649	0.012582	0.012612	0.0072003	0.011415	0.010064	0.010805	0.012102	0.011699	0.012549	0.012385	0.012696	0.011595	0.011592	0.011983	0.012659	0.012663	0.012463	0.012811	0.012604	0.012715	0.012617	0.012539	0.012357	0.012446	0.012655	0.01263	0.012553	0.012498	0.012522	0.012661	0.012599	0.012595	0.012575	0.012435	0.011369	0.012594	0.012598	0.012517	0.012517	0.012416	0.012581	0.012464	0.012302	0.012307	0.011216	0.012766	0.01216	0.012574	0.012182	0.013307	0.010742	0.0070514	0.012613	0.010487	0.012368	0.011586	0.011937	0.012755	0.01276	0.008413	0.012528	0.012545	0.012566	0.012538	0.012818	0.013043	0.012611                                                                          
