IL12B	IL21	0.01574
IL12B	IL25	0.015417
IL12B	IL2RA	0.015378
IL12B	IL3	0.015418
IL12B	IL33	0.015807
IL12B	IL3RA	0.015515
IL12B	IL9	0.015262
IL12B	MMP9	0.016042
IL12B	PPARG	0.015984
IL12B	RORC	0.01654
IL12B	STAT5A	0.015182
IL12B	TGFB1	0.015916
IL13	IL17RB	0.015907
IL13	IL1RL1	0.016021
IL13	IL3RA	0.015395
IL13	IL5RA	0.015423
IL13	KIT	0.015188
IL13	PPARG	0.015614
IL13	RORC	0.015695
IL13	SATB1	0.015155
IL13	STAT5A	0.01502
IL13	TBX21	0.015463
IL13RA1	IL13RA2	0.019984
IL13RA1	IL2RA	0.015458
IL13RA1	IL33	0.01577
IL13RA1	IL5	0.015065
IL13RA1	IL9	0.015389
IL13RA1	TBX21	0.015682
IL13RA2	IL17A	0.01549
IL13RA2	IL2RA	0.015458
IL13RA2	IL33	0.01577
IL13RA2	IL5	0.015065
IL13RA2	IL9	0.015389
IL13RA2	TBX21	0.015682
IL17A	IL25	0.016654
IL17A	IL2RA	0.015363
IL17A	IL3RA	0.015534
IL17A	IL4R	0.015184
IL17A	MAF	0.01596
IL17A	SATB1	0.015608
IL17A	TSLP	0.015436
IL17RB	IL33	0.020665
IL17RB	IL4	0.014503
IL17RB	IL9	0.01609
IL18	IL21	0.015592
IL18	IL25	0.016093
IL18	IL2RA	0.015245
IL18	IL3	0.015451
IL18	IL4R	0.015057
IL18	IL9	0.015279
IL18	MMP9	0.015907
IL18	PPARG	0.015746
IL18	RORC	0.016038
IL18	STAT5A	0.015135
IL18	TGFB1	0.01579
IL1RL1	IL25	0.018183
IL1RL1	IL4	0.015671
IL1RL1	IL4R	0.015068
IL1RL1	IL9	0.015445
IL1RL1	MAF	0.017518
IL1RL1	PPARG	0.015909
IL1RL1	TGFB1	0.015992
IL1RL1	TSLP	0.015151
IL21	IL25	0.015496
IL21	IL33	0.01574
IL21	IL4R	0.01518
IL21	KITLG	0.014845
IL21	MAF	0.015922
IL21	MMP9	0.016042
IL21	PDCD1	0.01543
IL21	STAT5A	0.015944
IL21	STAT6	0.015218
IL21	TGFB1	0.015915
IL25	IL3	0.015374
IL25	IL4	0.015094
IL25	IL4R	0.015012
IL25	MMP9	0.01578
IL25	STAT6	0.01519
IL25	TSLP	0.015226
IL2RA	IL5RA	0.016149
IL2RA	KIT	0.016189
IL2RA	KITLG	0.014821
