IFNGR2	STAT6	0.014313
IFNGR2	TBX21	0.015121
IFNGR2	TGFB1	0.014402
IL10	IL13RA1	0.014194
IL10	IL13RA2	0.014147
IL10	IL1RL1	0.014254
IL10	IL21	0.014201
IL10	IL25	0.013959
IL10	IL33	0.014097
IL10	IL3RA	0.013995
IL10	KIT	0.013792
IL10	KITLG	0.013601
IL10	MAF	0.014445
IL10	PPARG	0.014169
IL10	RNASE3	0.013851
IL10	RORC	0.01449
IL10	TNFRSF4	0.014489
IL10	TNFSF4	0.014465
IL10	TSLP	0.014071
IL12A	IL13	0.014052
IL12A	IL18	0.014112
IL12A	IL1RL1	0.01439
IL12A	IL25	0.014096
IL12A	IL2RA	0.014207
IL12A	IL33	0.014217
IL12A	IL3RA	0.013985
IL12A	IL4R	0.013915
IL12A	MAF	0.014678
IL12A	MMP9	0.013584
IL12A	PDCD1	0.014881
IL12A	RORC	0.014843
IL12A	STAT5A	0.014121
IL12A	TGFB1	0.014186
IL12B	IL18	0.014041
IL12B	IL1RL1	0.014292
IL12B	IL21	0.014259
IL12B	IL25	0.014033
IL12B	IL2RA	0.014144
IL12B	IL3	0.014045
IL12B	IL33	0.014154
IL12B	IL3RA	0.013995
IL12B	IL9	0.013858
IL12B	KITLG	0.013576
IL12B	MMP9	0.013554
IL12B	PDCD1	0.014505
IL12B	PPARG	0.014216
IL12B	RNASE3	0.013901
IL12B	RORC	0.014607
IL12B	STAT5A	0.014083
IL12B	TGFB1	0.014113
IL12B	TNFRSF4	0.014335
IL13	IL17RB	0.013912
IL13	IL1RL1	0.014238
IL13	IL3RA	0.013878
IL13	IL5RA	0.014016
IL13	KIT	0.013687
IL13	KITLG	0.013516
IL13	MAF	0.014123
IL13	PDCD1	0.013612
IL13	PPARG	0.014015
IL13	RNASE3	0.013827
IL13	RORC	0.014203
IL13	SATB1	0.013661
IL13	STAT5A	0.013951
IL13	TNFRSF4	0.014044
IL13	TNFSF4	0.014001
IL13RA1	IL13RA2	0.014868
IL13RA1	IL21	0.014202
IL13RA1	IL25	0.01391
IL13RA1	IL2RA	0.014251
IL13RA1	IL33	0.014067
IL13RA1	IL5	0.013807
IL13RA1	IL9	0.01396
IL13RA1	TBX21	0.014309
IL13RA1	TGFB1	0.014095
IL13RA2	IL17A	0.014099
IL13RA2	IL21	0.014218
IL13RA2	IL25	0.01403
IL13RA2	IL3	0.014098
IL13RA2	IL33	0.014134
IL13RA2	IL5	0.013844
IL13RA2	IL5RA	0.014334
IL13RA2	KITLG	0.01363
IL13RA2	STAT5A	0.014101
IL13RA2	TBX21	0.014251
IL13RA2	TGFB1	0.0141
IL13RA2	TSLP	0.01411
IL17A	IL25	0.014461
IL17A	IL3RA	0.013988
IL17A	IL4R	0.01377
IL17A	MAF	0.01436
IL17A	PDCD1	0.014142
IL17A	SATB1	0.013883
IL17A	TNFRSF4	0.014353
IL17A	TNFSF4	0.014354
IL17RB	IL33	0.015968
IL17RB	IL4	0.013487
IL17RB	IL9	0.013835
IL17RB	TSLP	0.014696
IL18	IL25	0.014103
IL18	IL2RA	0.013992
IL18	IL3	0.013964
IL18	IL4R	0.013689
IL18	LTB4R	0.014135
IL18	PDCD1	0.013829
IL18	PPARG	0.014073
IL18	RORC	0.014318
IL18	STAT5A	0.013973
IL18	TGFB1	0.013993
IL18	TNFRSF4	0.01413
IL18	TNFSF4	0.014108
IL1RL1	IL25	0.014972
IL1RL1	IL4	0.014052
IL1RL1	IL4R	0.013775
IL1RL1	IL5RA	0.014007
IL1RL1	IL9	0.013958
IL1RL1	MAF	0.014789
IL1RL1	PPARG	0.014149
IL1RL1	STAT5A	0.014003
IL1RL1	TGFB1	0.014198
IL1RL1	TSLP	0.014467
